site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
590,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,240,180,60,10,60,300,90,30,15,15,10,183,NA,10,13,18,8,17,16,11,12,11,16,20,9,NA,2,4,1,2,2,2,1,4,1,1,1,1,6.98085165,NA,337,260,361,41,248,337,300,306,293,333,332,304,NA,2,3,4,5,6,7,8,9,10,11,12,13,13.09105492,15.54775047,2.386919975,4.910003662,0.076180145,11.90995502,0.451985806,7.133777142,65.2858963,1231.783936,-1.32915926,-940.7395576,-184.989323,RufousTailedHawk,15
591,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,180,180,60,21,90,12,145,300,30,20,42,11,14,12,12,12,10,11,17,12,10,16,11,8,3,3,1,4,3,1,3,1,1,3,2,1,2,3.568632364,304,322,315,334,298,316,365,365,361,292,286,296,315,1,2,3,4,5,6,7,8,9,10,11,12,13,8.926709175,19.23971176,14.32645988,0.646264434,0.000000000,8.947784424,0.046295919,4.657959938,70.18160248,2040.958496,-4.827690601,-925.7395576,-184.989323,RufousTailedHawk,15
592,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,40,60,300,240,300,60,120,13,25,31,60,70,NA,13,0,10,9,8,13,11,10,17,12,13,19,NA,3,1,6,1,2,3,1,1,2,2,3,1,11.82296467,NA,322,357,307,319,319,365,313,276,309,313,332,282,NA,2,3,4,5,6,7,8,9,10,11,12,13,0.866590738,18.46022415,62.94416428,0.087669536,0.000000000,3.251481771,0,3.328699827,30.22948074,3247.519287,-1.922834039,-910.7395576,-184.989323,RufousTailedHawk,15
593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.346173525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2.515301228,21.53501701,64.39911652,0.019572938,0.000000000,3.074321747,0.019328158,2.056357622,30.23974609,3025.089111,-3.644218445,-895.7395576,-184.989323,RufousTailedHawk,15
594,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,30,20,210,45,30,84,136,16,32,35,28,15,16,10,9,8,16,16,12,7,12,13,11,19,1,4,1,1,2,1,2,2,8,1,1,1,1,2.308012724,260,312,336,279,256,312,324,318,310,263,341,280,338,1,2,3,4,5,6,7,8,9,10,11,12,13,15.09744358,6.734261036,6.916387081,23.23097229,1.692506552,4.893769741,1.770635247,32.42405701,28.15302086,242.7924347,-0.647868335,-1045.739558,-199.989323,RufousTailedHawk,15
595,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,225,210,NA,NA,NA,20,10,5,120,56,161,8,4,8,8,NA,NA,NA,15,13,17,14,13,17,8,16,1,1,NA,NA,NA,2,5,2,1,1,1,1,1,2.308012724,43,365,NA,NA,NA,249,342,252,24,263,341,297,245,1,2,NA,NA,NA,6,7,8,9,10,11,12,13,15.09744358,6.734261036,6.916387081,23.23097229,1.692506552,4.893769741,1.770635247,32.42405701,28.15302086,242.7924347,-0.647868335,-1030.739558,-199.989323,RufousTailedHawk,15
596,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,2,NA,NA,120,NA,45,15,3,33,30,13,2,7,11,NA,NA,9,NA,14,10,11,17,11,14,11,12,2,NA,NA,2,NA,2,2,2,1,1,1,1,1,1.593674541,329,NA,NA,46,NA,249,268,308,263,355,296,297,245,1,NA,NA,4,NA,6,7,8,9,10,11,12,13,14.83909702,8.065516472,6.363473415,26.30543137,1.117452025,7.875469685,1.407087803,28.23823547,27.52829933,370.5178528,0.925699174,-1015.739558,-199.989323,RufousTailedHawk,15
597,0,0,NA,NA,0,0,0,0,0,0,0,0,0,20,5,NA,NA,20,240,42,1,60,60,21,45,2,9,10,NA,NA,8,10,9,15,18,11,1,0,9,2,1,NA,NA,2,1,1,1,2,2,1,1,1,2.434957743,329,305,NA,NA,270,326,313,324,280,356,348,269,344,1,2,NA,NA,5,6,7,8,9,10,11,12,13,14.85314655,7.925845146,2.817585945,25.09845352,1.206047297,10.37340069,7.259636402,21.85949516,30.98041344,440.5809021,-0.124767303,-1000.739558,-199.989323,RufousTailedHawk,15
598,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,10,NA,15,NA,1,1,3,10,30,10,3,NA,NA,6,NA,8,NA,10,8,17,19,11,18,10,NA,NA,2,NA,2,NA,1,1,1,1,1,1,1,2.800412655,NA,NA,43,NA,270,NA,2,351,287,299,263,318,302,NA,NA,3,NA,5,NA,7,8,9,10,11,12,13,15.09534359,7.436133862,3.281205416,33.14503479,0.392034292,10.10995674,4.438410759,16.68406296,30.77214622,450.6347046,-3.583635569,-985.7395576,-199.989323,RufousTailedHawk,15
599,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,15,60,20,30,60,40,1,12,8,20,2,8,19,12,16,18,13,10,11,14,12,11,2,8,1,2,2,2,1,2,5,2,1,3,1,1,1,3.395123482,248,322,349,271,316,276,296,308,247,289,306,280,341,1,2,3,4,5,6,7,8,9,10,11,12,13,14.19731808,8.314704895,4.664562702,28.92921448,0.108333871,9.243125916,2.894842148,12.24797058,39.89836884,681.4862671,4.689473152,-970.7395576,-199.989323,RufousTailedHawk,15
600,0,0,0,0,0,0,0,0,0,0,0,0,0,120,30,80,60,30,60,180,45,30,25,6,34,5,16,19,15,7,7,14,8,11,12,8,13,16,12,2,1,2,1,1,1,1,2,2,1,1,1,1,2.270593166,273,273,268,269,335,347,282,260,320,281,309,287,279,1,2,3,4,5,6,7,8,9,10,11,12,13,15.21747494,6.697744846,7.728086948,8.29002285,0.089600429,5.743863583,0.028663827,1.86558032,17.30689621,516.7206421,-0.104660824,-955.7395576,-199.989323,RufousTailedHawk,15
601,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,30,60,60,60,15,1,6,3,5,11,5,9,8,18,9,15,10,19,13,9,7,17,18,13,2,1,1,1,1,1,3,1,1,1,1,1,1,3.072812796,263,255,251,284,249,341,256,279,287,281,291,301,292,1,2,3,4,5,6,7,8,9,10,11,12,13,14.07819366,12.87000179,2.958635092,3.597747326,0.057737887,3.817353487,0.542086601,5.235455036,31.41968346,917.5060425,-3.786701202,-940.7395576,-199.989323,RufousTailedHawk,15
602,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,90,NA,270,NA,240,105,240,240,49,14,40,5,NA,15,NA,10,NA,8,14,11,13,13,12,14,10,NA,1,NA,1,NA,1,2,3,2,1,1,1,1,7.679244995,NA,346,NA,309,NA,283,277,282,259,290,271,275,29,NA,2,NA,4,NA,6,7,8,9,10,11,12,13,7.763968945,18.16237831,30.32465363,0.273563743,0.000000000,10.60122299,0.024731275,8.901649475,49.04882813,2254.219971,9.592488289,-925.7395576,-199.989323,RufousTailedHawk,15
603,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,60,90,30,NA,120,60,120,240,NA,70,49,2,NA,16,17,17,NA,11,10,11,11,NA,11,9,10,NA,1,1,2,NA,1,3,3,1,NA,3,1,5,6.233976841,NA,343,278,356,NA,285,318,336,250,NA,282,364,345,NA,2,3,4,NA,6,7,8,9,NA,11,12,13,5.575339794,19.40273666,47.38924026,0.113834381,0.000000000,6.940347195,0.12799257,4.861411572,40.31904984,2561.876221,-0.11593207,-910.7395576,-199.989323,RufousTailedHawk,15
604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3.346173525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,318,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,2.515301228,21.53501701,64.39911652,0.019572938,0.000000000,3.074321747,0.019328158,2.056357622,30.23974609,3025.089111,-3.644218445,-895.7395576,-199.989323,RufousTailedHawk,15
605,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,30,NA,61,NA,172,77,15,7,1,75,245,NA,NA,16,NA,15,NA,7,17,15,12,11,20,14,NA,NA,4,NA,1,NA,1,2,1,1,1,1,2,1.567452192,NA,NA,271,NA,25,NA,6,48,265,285,304,359,364,NA,NA,3,NA,5,NA,7,8,9,10,11,12,13,15.79567623,6.035331726,4.557174206,26.86593246,2.063159704,4.208377361,2.392765045,18.95000839,20.6379509,130.4918365,-0.390978694,-1045.739558,-214.989323,RufousTailedHawk,15
606,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,60,60,45,180,15,120,60,14,20,127,14,12,19,11,12,9,15,11,13,13,11,9,13,11,2,1,3,2,2,2,1,10,1,2,1,1,2,1.567452192,329,259,271,326,12,284,248,337,343,335,285,287,361,1,2,3,4,5,6,7,8,9,10,11,12,13,15.79567623,6.035331726,4.557174206,26.86593246,2.063159704,4.208377361,2.392765045,18.95000839,20.6379509,130.4918365,-0.390978694,-1030.739558,-214.989323,RufousTailedHawk,15
607,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,250,NA,1,60,26,45,13,NA,NA,NA,NA,NA,NA,11,NA,11,12,10,15,12,NA,NA,NA,NA,NA,NA,3,NA,2,1,1,1,1,5.02325201,NA,NA,NA,NA,NA,NA,22,NA,279,360,43,268,312,NA,NA,NA,NA,NA,NA,7,NA,9,10,11,12,13,15.10239792,7.858223915,4.625570297,26.38996315,0.629269838,9.569759369,4.173137188,25.31960297,28.89800072,364.458374,0.953561306,-1015.739558,-214.989323,RufousTailedHawk,15
608,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,150,6,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,9,15,9,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,1,2.705596209,NA,NA,NA,NA,NA,NA,NA,NA,275,289,289,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,NA,13,16.1096611,8.120127678,2.950173378,53.89604568,0.214335114,5.114923477,1.970026016,15.61421204,19.3645668,226.8430939,-1.711826682,-1000.739558,-214.989323,RufousTailedHawk,15
609,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,15,NA,60,90,15,NA,20,12,4,5,7,45,NA,20,NA,15,7,14,NA,12,9,13,10,12,17,NA,1,NA,2,2,2,NA,2,1,1,1,1,1,3.591036081,NA,14,NA,271,40,276,NA,308,287,306,289,284,251,NA,2,NA,4,5,6,NA,8,9,10,11,12,13,16.0191288,8.004652977,2.861200094,44.44387436,0.643897235,5.581375122,2.451586962,17.8174572,26.15413284,298.8820496,-0.223819226,-985.7395576,-214.989323,RufousTailedHawk,15
610,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,30,30,15,120,30,15,20,120,12,180,21,NA,19,11,16,18,15,14,11,12,11,16,11,15,NA,1,2,2,2,3,2,2,3,1,1,1,1,2.300586224,NA,14,277,254,268,303,246,250,270,278,263,360,323,NA,2,3,4,5,6,7,8,9,10,11,12,13,15.26307011,8.006676674,4.515958786,44.56858444,0.454759896,8.670942307,0.920954168,10.71292686,27.27168083,481.0450745,1.436128974,-970.7395576,-214.989323,RufousTailedHawk,15
611,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,120,20,90,45,40,60,240,6,6,4,5,3,NA,13,18,15,11,13,11,12,8,19,18,10,10,NA,2,3,3,1,2,3,2,1,1,1,1,1,1.503401995,NA,3,37,262,254,277,276,260,365,321,271,327,249,NA,2,3,4,5,6,7,8,9,10,11,12,13,15.3354454,9.49641037,7.60148716,23.59287453,0.305564404,5.554940224,0.045722112,4.838817596,27.29349709,537.1512451,-0.06270767,-955.7395576,-214.989323,RufousTailedHawk,15
612,0,0,0,0,0,0,0,0,0,0,0,0,0,180,20,120,5,90,60,49,5,10,2,7,7,40,9,12,18,16,11,18,16,15,4,12,21,17,18,1,1,2,1,3,1,10,1,1,1,1,1,1,2.255412817,16,362,297,355,267,250,286,351,321,288,361,276,296,1,2,3,4,5,6,7,8,9,10,11,12,13,14.43496513,13.72253418,7.742940426,18.82143021,0.274414361,6.819492817,2.584326506,6.378045082,32.42879105,847.3667603,0.283917934,-940.7395576,-214.989323,RufousTailedHawk,15
613,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,35,90,20,10,60,30,60,60,2,137,7,48,NA,11,14,19,10,12,11,11,11,11,11,7,11,NA,2,4,2,4,1,2,4,1,2,1,1,1,2.797367334,NA,254,267,300,270,323,275,316,265,282,349,273,307,NA,2,3,4,5,6,7,8,9,10,11,12,13,11.7455883,17.69870377,7.737247944,5.064947605,0.083319798,10.93935204,4.081202984,11.56278133,58.66915512,1522.810303,-6.727174282,-925.7395576,-214.989323,RufousTailedHawk,15
614,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,30,120,60,120,120,60,60,120,30,2,55,NA,NA,16,17,19,16,12,11,17,5,17,15,15,NA,NA,4,3,2,2,2,4,1,2,1,1,1,5.204359531,NA,NA,261,307,1,245,275,313,309,289,274,304,309,NA,NA,3,4,5,6,7,8,9,10,11,12,13,5.510872841,20.09833908,40.28726578,0.433801293,0.000000000,8.007089615,0.003696272,5.69536972,45.34621429,2591.703369,5.642212868,-910.7395576,-214.989323,RufousTailedHawk,15
616,0,0,0,0,0,0,0,0,0,0,0,0,0,240,180,70,180,60,20,20,20,60,180,170,265,60,9,12,13,10,16,15,11,11,16,10,17,14,13,1,8,1,5,2,2,1,1,2,3,4,4,4,2.086685658,353,299,353,352,362,322,311,311,278,292,291,276,289,1,2,3,4,5,6,7,8,9,10,11,12,13,16.034235,5.93178463,4.31439209,24.92973709,1.328822136,3.917008638,0.611014485,22.48854065,24.06748962,117.9752274,0.363757104,-1030.739558,-229.989323,RufousTailedHawk,15
