site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,240,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,4.94560194,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,296,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,6.641718864,94.63578033,2.9773736,6.965227604,10.219246860,25.57591057,16.62190819,17.88757515,14.74154091,1326.03418,4.167139053,-955.7395576,-934.989323,RufousTailedHawk,15
1330,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,10,45,60,60,22,16,10,30,42,30,NA,NA,NA,11,8,18,16,13,8,18,11,16,16,NA,NA,NA,1,2,2,4,4,1,4,2,1,1,6.575311184,NA,NA,NA,290,47,326,358,296,246,304,271,244,298,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,11.24718475,216.7035522,0.772542238,7.752122402,1.221062183,28.98931122,35.22551346,0.634850442,6.362798691,72.27073669,-1.199958205,-1135.739558,-949.989323,RufousTailedHawk,15
1331,0,0,0,0,0,0,0,0,0,0,0,0,0,180,90,240,120,60,5,60,15,104,3,30,14,5,2,8,16,10,11,16,17,19,10,11,8,9,14,1,1,3,1,3,1,3,4,1,1,1,1,1,6.575311184,282,351,258,289,298,276,302,297,351,292,278,270,267,1,2,3,4,5,6,7,8,9,10,11,12,13,11.24718475,216.7035522,0.772542238,7.752122402,1.221062183,28.98931122,35.22551346,0.634850442,6.362798691,72.27073669,-1.199958205,-1120.739558,-949.989323,RufousTailedHawk,15
1332,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,90,NA,NA,NA,NA,2,20,20,295,15,21,300,62,15,NA,NA,NA,NA,15,21,11,7,9,17,9,13,1,NA,NA,NA,NA,1,5,4,3,2,1,2,4,2.985347986,277,NA,NA,NA,NA,312,33,298,346,351,47,305,317,1,NA,NA,NA,NA,6,7,8,9,10,11,12,13,10.67368889,207.3641052,0.011113022,3.230266809,3.124261141,34.7803421,52.72803497,0.948266685,3.429494619,192.451828,0.327443749,-1105.739558,-949.989323,RufousTailedHawk,15
1333,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,4.400995731,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,13,10.19325256,200.4102631,0.004473258,2.336098671,4.413275719,34.39399338,50.60282135,0.463716179,7.34916687,304.3457336,2.162712097,-1090.739558,-949.989323,RufousTailedHawk,15
1334,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,30,10,3,8,5,NA,NA,NA,NA,NA,NA,NA,NA,9,18,11,14,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1.507483363,NA,NA,NA,NA,NA,NA,NA,NA,45,332,336,244,354,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,13,11.1556778,197.157074,0.275010973,15.60439491,7.308575630,26.74757576,44.3848877,1.698880315,2.929816008,138.3648224,-0.775023043,-1075.739558,-949.989323,RufousTailedHawk,15
1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1.865286231,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,NA,10.8798666,218.5432281,0.17113471,25.55802727,7.165496826,25.94162941,36.19926453,3.606102467,1.29232502,217.1666412,-0.668178856,-1060.739558,-949.989323,RufousTailedHawk,15
1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5.791452885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,8.683696747,220.4928894,0.047992263,4.353330135,1.329080701,50.76259995,30.22429466,0.664354384,12.26894855,696.2376099,2.376954556,-1045.739558,-949.989323,RufousTailedHawk,15
1337,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,5.228477001,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,275,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,11,12,NA,8.568674088,218.1699677,0.081087895,2.161333084,1.887373209,43.98517609,32.3684082,0.093858935,7.803210735,748.4035034,-2.586625099,-1030.739558,-949.989323,RufousTailedHawk,15
1338,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,43,21,237,2,6,NA,NA,NA,NA,NA,NA,NA,NA,8,18,11,19,23,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,3,1,8.358047485,NA,NA,NA,NA,NA,NA,NA,NA,339,350,40,300,311,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,13,6.576125622,186.092041,2.460100889,2.360381126,1.471895456,40.64260864,33.41359711,2.373919964,11.6865015,1193.780884,5.680656433,-1015.739558,-949.989323,RufousTailedHawk,15
1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7.887784958,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,7.625113487,180.4889374,0.22321026,1.373806238,1.067378521,45.73160553,39.65779877,0.563781857,7.139066696,996.9398804,-0.189366177,-1000.739558,-949.989323,RufousTailedHawk,15
1340,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,45,120,NA,16,120,NA,NA,NA,NA,NA,NA,NA,NA,14,16,NA,9,15,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,2,6.881002903,NA,NA,NA,NA,NA,NA,NA,NA,4,50,NA,28,7,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,12,13,6.888533115,150.0010376,0.271265745,4.083756924,2.594014883,40.8031044,34.95017242,2.863687515,7.677288532,1166.644897,0.444003046,-985.7395576,-949.989323,RufousTailedHawk,15
1342,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,180,NA,NA,NA,NA,180,300,80,29,232,NA,NA,NA,17,NA,NA,NA,NA,8,17,6,13,16,NA,NA,NA,2,NA,NA,NA,NA,2,1,2,1,4,4.754869938,NA,NA,NA,326,NA,NA,NA,NA,287,16,48,358,17,NA,NA,NA,4,NA,NA,NA,NA,9,10,11,12,13,6.541709423,97.65557861,4.127914429,5.177744865,7.715589046,26.26641083,18.54247665,13.60294151,17.62989235,1337.335815,2.796842098,-955.7395576,-949.989323,RufousTailedHawk,15
1344,0,NA,0,0,0,0,0,0,0,0,0,0,0,120,NA,120,63,180,60,15,30,101,60,52,3,7,13,NA,0,19,10,9,13,16,15,16,13,11,17,1,NA,4,8,1,2,1,2,2,2,1,1,2,3.598248959,274,NA,285,43,345,314,349,361,38,289,315,245,306,1,NA,3,4,5,6,7,8,9,10,11,12,13,10.89673615,215.2144012,0.015876513,2.523220778,0.318306595,21.97652054,21.72957802,0.505735219,2.402424097,78.04897308,0.443879038,-1150.739558,-964.989323,RufousTailedHawk,15
1345,NA,NA,NA,NA,0,0,0,NA,0,0,1,0,0,NA,NA,NA,NA,40,20,120,NA,45,20,7,57,28,NA,NA,NA,NA,10,19,12,NA,13,15,12,17,14,NA,NA,NA,NA,2,2,2,NA,2,2,1,1,1,2.688593388,NA,NA,NA,NA,47,48,1,NA,33,321,334,12,275,NA,NA,NA,NA,5,6,7,NA,9,10,11,12,13,9.737415314,213.558548,0.17905432,4.653036594,0.845144510,39.86837769,45.21986389,0.055681206,5.649337769,352.7564087,1.982357144,-1135.739558,-964.989323,RufousTailedHawk,15
1346,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,120,NA,NA,NA,NA,NA,60,NA,NA,60,10,19,NA,9,NA,NA,NA,NA,NA,11,NA,NA,16,17,11,NA,2,NA,NA,NA,NA,NA,4,NA,NA,2,2,2,7.02628231,NA,356,NA,NA,NA,NA,NA,38,NA,NA,351,282,356,NA,2,NA,NA,NA,NA,NA,8,NA,NA,11,12,13,9.842069626,208.819809,0.11319752,1.618390322,0.504094362,42.29754639,46.09740448,0.087532662,7.708939075,333.4531555,-0.513688564,-1120.739558,-964.989323,RufousTailedHawk,15
1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2.691138268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,10.37694931,195.0421448,0,1.635207772,3.931645632,34.12778473,57.52786255,0.186522588,2.531113148,232.0718231,0.865908325,-1105.739558,-964.989323,RufousTailedHawk,15
1348,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,60,NA,45,2,75,130,NA,NA,NA,NA,NA,NA,NA,9,NA,11,13,11,18,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,2,1.483359694,NA,NA,NA,NA,NA,NA,NA,306,NA,22,245,331,58,NA,NA,NA,NA,NA,NA,NA,8,NA,10,11,12,13,10.62415791,182.5762177,0.278948128,11.12336731,4.863366604,31.32864189,48.01105499,2.739556789,1.273036718,208.2184906,-1.265551567,-1090.739558,-964.989323,RufousTailedHawk,15
1349,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,180,NA,NA,NA,90,NA,19,NA,24,2,NA,NA,NA,8,NA,NA,NA,16,NA,9,NA,13,7,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,1,1,3.123509645,NA,NA,NA,336,NA,NA,NA,281,NA,281,NA,21,26,NA,NA,NA,4,NA,NA,NA,8,NA,10,NA,12,13,11.05636501,189.1589661,0.345520079,34.55172348,2.412527084,19.32610703,36.35254288,5.252059937,1.098818064,158.4816589,0.040711313,-1075.739558,-964.989323,RufousTailedHawk,15
1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2.304046392,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,NA,10.87088108,216.3990021,0.410063505,33.95927811,4.549558640,19.41703415,34.27878189,5.866133213,1.240309715,229.300766,-0.41750434,-1060.739558,-964.989323,RufousTailedHawk,15
1351,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,180,NA,NA,NA,15,60,15,5,NA,NA,NA,NA,NA,8,NA,NA,NA,13,15,8,16,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,2,1,3.231764555,NA,NA,NA,NA,NA,339,NA,NA,NA,260,249,38,305,NA,NA,NA,NA,NA,6,NA,NA,NA,10,11,12,13,9.761240005,233.6836548,0,18.50609589,1.207963467,38.48511505,32.15556717,2.441651106,6.09488821,505.3261108,2.478083134,-1045.739558,-964.989323,RufousTailedHawk,15
1352,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,120,NA,NA,NA,35,NA,NA,30,NA,NA,NA,NA,NA,9,NA,NA,NA,13,NA,NA,18,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,1,2.841226816,NA,NA,NA,NA,NA,337,NA,NA,NA,281,NA,NA,347,NA,NA,NA,NA,NA,6,NA,NA,NA,10,NA,NA,13,8.122092247,218.2914124,0,2.74378252,0.757465661,51.13068771,33.66679001,0.597926974,10.23545647,863.3192749,-2.974629164,-1030.739558,-964.989323,RufousTailedHawk,15
1354,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,13.8871088,NA,NA,NA,57,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,9,NA,NA,NA,NA,6.881946087,174.2044678,0.792256534,2.481276989,1.946636438,47.62995911,29.51321602,2.677131176,14.1213913,1149.9375,4.731946945,-1000.739558,-964.989323,RufousTailedHawk,15
1355,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,1,NA,NA,240,180,120,NA,NA,NA,20,119,240,120,120,NA,NA,7,8,13,NA,NA,NA,18,18,8,13,10,NA,NA,10,2,1,NA,NA,NA,1,1,2,2,6,4.139367104,NA,NA,330,51,24,NA,NA,NA,350,20,291,275,281,NA,NA,3,4,5,NA,NA,NA,9,10,11,12,13,6.922992229,152.5838013,0.28615433,5.295579433,3.814961672,41.29701996,32.4887352,3.964787483,9.938539505,1153.678955,-0.979682505,-985.7395576,-964.989323,RufousTailedHawk,15
1356,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,180,NA,NA,NA,40,20,90,24,15,NA,NA,NA,NA,10,NA,NA,NA,11,21,11,17,10,NA,NA,NA,NA,1,NA,NA,NA,2,1,3,2,3,4.308832645,NA,NA,NA,NA,8,NA,NA,NA,4,334,20,290,281,NA,NA,NA,NA,5,NA,NA,NA,9,10,11,12,13,7.084597588,129.6165771,0.393225491,2.91808486,5.401129723,37.7326355,30.99464989,5.808944702,6.99835968,1175.570435,-2.355316877,-970.7395576,-964.989323,RufousTailedHawk,15
1357,0,0,0,0,0,0,0,0,0,0,0,1,1,120,90,30,180,240,60,60,60,5,7,115,198,74,14,13,7,14,8,16,17,17,11,13,7,12,16,3,1,1,1,1,2,2,4,1,1,1,1,1,2.245983601,328,254,258,283,318,266,52,334,359,323,299,20,284,1,2,3,4,5,6,7,8,9,10,11,12,13,7.867851257,114.0941925,0.945163608,5.572922707,11.262660980,30.03374481,26.03600311,8.083861351,9.107475281,1054.800781,-2.658955574,-955.7395576,-964.989323,RufousTailedHawk,15
1358,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,120,NA,NA,NA,NA,NA,NA,NA,NA,60,60,26,56,15,NA,NA,NA,NA,NA,NA,NA,NA,12,7,18,10,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3.623630047,327,NA,NA,NA,NA,NA,NA,NA,NA,286,291,43,311,1,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,13,7.955630302,92.25866699,9.152815819,4.540777206,10.862261770,16.78579521,8.299746513,20.54814339,28.57801628,1082.462036,-1.159044862,-940.7395576,-964.989323,RufousTailedHawk,15
1360,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,90,NA,35,NA,98,4,180,NA,NA,NA,NA,NA,NA,14,NA,16,NA,7,15,17,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,1,2,3.598248959,NA,NA,NA,NA,NA,NA,34,NA,56,NA,249,13,288,NA,NA,NA,NA,NA,NA,7,NA,9,NA,11,12,13,10.89673615,215.2144012,0.015876513,2.523220778,0.318306595,21.97652054,21.72957802,0.505735219,2.402424097,78.04897308,0.443879038,-1150.739558,-979.989323,RufousTailedHawk,15
1361,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,180,NA,215,NA,NA,35,90,240,NA,NA,NA,NA,NA,16,NA,14,NA,NA,7,10,11,NA,NA,NA,NA,NA,5,NA,4,NA,NA,1,2,3,2.22889924,NA,NA,NA,NA,NA,44,NA,22,NA,NA,42,51,21,NA,NA,NA,NA,NA,6,NA,8,NA,NA,11,12,13,8.110594749,205.5420837,0,2.039258957,0.083778873,42.41835022,50.01613235,0,5.421599388,663.4343872,1.512009859,-1135.739558,-979.989323,RufousTailedHawk,15
1362,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3.006844044,NA,NA,NA,NA,NA,NA,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9.272601128,196.6023102,0,0.897058964,1.363914847,38.9834137,56.49666595,0.107801683,2.134480953,429.7391357,-0.297443599,-1120.739558,-979.989323,RufousTailedHawk,15
1363,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,30,95,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,21,16,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,NA,NA,2.736088276,NA,NA,NA,NA,NA,NA,341,NA,NA,32,257,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,10,11,NA,NA,10.27557659,177.6199951,0,4.799859047,5.140044689,26.52915001,60.89070892,0.867878616,1.707946539,247.4460144,-0.816866815,-1105.739558,-979.989323,RufousTailedHawk,15
1364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,3.750739813,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,244,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,10.7116785,164.2726898,0.335904002,22.59402275,2.951043606,24.00449371,44.78964615,3.300322294,1.732789874,193.865921,1.489700556,-1090.739558,-979.989323,RufousTailedHawk,15
1365,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3.680324793,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,11.170331,174.9555511,0.310598165,49.90200806,1.073710442,14.29897404,28.9533329,4.711597919,0.479435772,141.8829956,-0.337172508,-1075.739558,-979.989323,RufousTailedHawk,15
1366,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,30,7,122,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,19,14,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,4,2.866266489,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,305,293,359,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,12,13,11.24479198,209.5788269,0.281597584,41.70104218,1.301203728,15.75841904,28.36770439,4.738385677,0.434440821,181.6450348,0.36548537,-1060.739558,-979.989323,RufousTailedHawk,15
1367,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,180,NA,NA,NA,NA,NA,240,20,11,27,82,44,NA,10,NA,NA,NA,NA,NA,10,9,11,15,14,9,NA,2,NA,NA,NA,NA,NA,2,1,1,1,4,1,5.226861,NA,54,NA,NA,NA,NA,NA,270,354,281,264,360,281,NA,2,NA,NA,NA,NA,NA,8,9,10,11,12,13,12.13495636,234.3096924,0.016708011,9.217362404,0.631031752,5.389806271,6.006310463,0.991830289,0.665903807,85.16220093,-0.421922356,-1045.739558,-979.989323,RufousTailedHawk,15
1368,0,NA,NA,0,0,0,NA,0,0,0,0,0,1,5,NA,NA,6,60,120,NA,120,11,25,150,34,60,14,NA,NA,9,12,11,NA,18,9,10,14,17,19,1,NA,NA,1,1,3,NA,1,1,1,2,1,2,3.188128948,331,NA,NA,272,52,37,NA,33,352,285,250,261,55,1,NA,NA,4,5,6,NA,8,9,10,11,12,13,11.03809071,252.2359619,0.016500579,4.439599037,2.442111254,28.77719498,21.10136986,1.128050566,6.20463562,309.7502136,-0.35314858,-1030.739558,-979.989323,RufousTailedHawk,15
1369,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,240,NA,NA,NA,135,60,9,15,231,NA,NA,NA,NA,10,NA,NA,NA,10,9,17,15,14,NA,NA,NA,NA,2,NA,NA,NA,1,2,4,1,2,10.67368507,NA,NA,NA,NA,33,NA,NA,NA,353,270,347,289,282,NA,NA,NA,NA,5,NA,NA,NA,9,10,11,12,13,10.39742661,252.9202576,0.020801017,9.697546959,2.076604605,40.56972504,28.46105385,1.842187285,6.628122807,443.3166504,-2.537680149,-1015.739558,-979.989323,RufousTailedHawk,15
1370,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,20.03040123,NA,NA,NA,NA,NA,NA,NA,NA,304,7,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,13,7.535229206,193.5132599,2.104618311,3.770860195,1.780906439,44.56250381,25.37429047,4.78711319,15.06823063,1019.194214,1.612031698,-1000.739558,-979.989323,RufousTailedHawk,15
1371,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,180,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,13.80075264,NA,NA,NA,NA,NA,NA,NA,NA,28,2,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,NA,NA,5.987026691,144.2211761,2.308968067,4.18667841,3.212404728,37.68894196,30.68016624,8.105171204,12.49369907,1327.601563,0.405277848,-985.7395576,-979.989323,RufousTailedHawk,15
1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8.534994125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,6.476151943,126.4594116,0.298954904,2.921025038,3.454913855,39.90094376,33.97227859,4.680242538,8.343457222,1257.908447,2.769907951,-970.7395576,-979.989323,RufousTailedHawk,15
1373,NA,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,300,NA,15,120,NA,60,NA,191,95,21,2,3,NA,9,NA,10,9,NA,16,NA,9,8,17,13,9,NA,6,NA,2,2,NA,2,NA,3,1,1,1,1,3.368552685,NA,309,NA,327,320,NA,53,NA,311,307,308,359,331,NA,2,NA,4,5,NA,7,NA,9,10,11,12,13,6.039049625,102.2141724,2.290135145,1.689623237,8.207702637,36.25946045,31.05745506,9.124111176,9.422008514,1382.750244,2.61850214,-955.7395576,-979.989323,RufousTailedHawk,15
1376,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,8,15,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,20,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2.546634197,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,39,27,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,11,12,NA,10.00756836,204.6550446,0,1.197485685,0.002412183,34.25562668,21.95696449,0.397850811,6.899215698,197.8344727,-1.828994036,-1150.739558,-994.989323,RufousTailedHawk,15
1377,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,48,NA,54,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,18,NA,14,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,3.528461695,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,270,NA,34,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,11,NA,13,8.872882843,200.0451813,0,1.541246772,0.612349808,45.85791397,45.90231705,0,4.783979893,490.084137,-1.256056905,-1135.739558,-994.989323,RufousTailedHawk,15
1378,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,15,60,NA,4,NA,40,NA,NA,NA,NA,NA,NA,NA,10,10,NA,15,NA,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,1,2.695725441,NA,NA,NA,NA,NA,NA,NA,46,260,NA,266,NA,34,NA,NA,NA,NA,NA,NA,NA,8,9,NA,11,NA,13,10.02753735,180.6172333,0.201675355,10.09396744,3.846890688,30.15521622,51.39794159,0.844436228,3.152567387,275.9355774,0.593082964,-1120.739558,-994.989323,RufousTailedHawk,15
