site,dummy,distRoad,occ,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
47,0,1.807526231,0,11.23609447,5.829768181,98.55767059,0,0.000000000,0.372814178,0,0,1.073724627,3014.989502,0.457467824,-895.7395576,760.010677,RufousLeggedOwl,15
48,1,2.341228724,0,16.27240562,0,84.26569366,0,0.000000000,0.322672665,0,0.278672487,15.12705612,1130.731689,1.580985546,-1000.739558,745.010677,RufousLeggedOwl,15
49,1,2.341228724,0,16.27240562,0,84.26569366,0,0.000000000,0.322672665,0,0.278672487,15.12705612,1130.731689,1.580985546,-985.7395576,745.010677,RufousLeggedOwl,15
50,0,1.807526231,0,11.23609447,5.829768181,98.55767059,0,0.000000000,0.372814178,0,0,1.073724627,3014.989502,0.457467824,-910.7395576,745.010677,RufousLeggedOwl,15
51,0,1.807526231,0,11.23609447,5.829768181,98.55767059,0,0.000000000,0.372814178,0,0,1.073724627,3014.989502,0.457467824,-895.7395576,745.010677,RufousLeggedOwl,15
52,0,2.887372732,0,8.866380692,10.40181541,91.02130127,0,0.000000000,1.037460685,0,0.049880169,7.891769409,3494.198975,-0.817239225,-880.7395576,745.010677,RufousLeggedOwl,15
53,1,1.585880637,0,17.32616806,0.362261057,52.25909042,0,0.000000000,0.110777698,0,0.154351294,32.68968964,269.1356812,-2.289890289,-1000.739558,730.010677,RufousLeggedOwl,15
54,1,2.352000237,0,16.47411919,0,86.42541504,0,0.000000000,0.143825144,0,0.001383181,13.43203163,947.3630371,-0.699361503,-985.7395576,730.010677,RufousLeggedOwl,15
55,0,3.79551363,0,13.91458511,2.179882765,78.9079895,0,0.000000000,0.002549259,0,0,21.11989784,2492.668457,0.846848786,-910.7395576,730.010677,RufousLeggedOwl,15
56,0,2.089211226,0,11.58791065,5.763658047,88.43404388,0,0.000000000,1.429478407,0,0.005287989,10.12803841,2975.196045,-0.448947579,-895.7395576,730.010677,RufousLeggedOwl,15
57,0,2.887372732,0,8.866380692,10.40181541,91.02130127,0,0.000000000,1.037460685,0,0.049880169,7.891769409,3494.198975,-0.817239225,-880.7395576,730.010677,RufousLeggedOwl,15
58,0,3.124691486,0,16.97709846,0.013125555,77.96775055,0,0.000000000,0.051922318,0,0,21.43629074,488.0198059,0.817074239,-1015.739558,715.010677,RufousLeggedOwl,15
59,0,3.124691486,0,16.97709846,0.013125555,77.96775055,0,0.000000000,0.051922318,0,0,21.43629074,488.0198059,0.817074239,-1000.739558,715.010677,RufousLeggedOwl,15
60,0,2.641321182,0,16.54760551,0,89.13488007,0,0.000000000,0.119244508,0,0,10.67399597,900.9347534,-0.00687167,-985.7395576,715.010677,RufousLeggedOwl,15
61,0,2.243117094,0,13.9118433,2.034908295,94.50289917,0,0.000000000,0.100996807,0,0,5.405458927,2457.113525,-0.925698638,-925.7395576,715.010677,RufousLeggedOwl,15
62,0,2.243117094,0,13.9118433,2.034908295,94.50289917,0,0.000000000,0.100996807,0,0,5.405458927,2457.113525,-0.925698638,-910.7395576,715.010677,RufousLeggedOwl,15
63,0,2.552535057,0,11.14525318,6.22781992,86.25935364,0,0.000000000,1.721793175,0,0.068196543,11.94607639,3071.246582,0.701874197,-895.7395576,715.010677,RufousLeggedOwl,15
64,0,3.677174807,0,8.790025711,10.84976864,79.6174469,0,0.000000000,2.60144043,0,0.154496461,17.60079193,3512.238037,0.424827516,-880.7395576,715.010677,RufousLeggedOwl,15
65,1,4.944141388,0,16.79817009,0,63.38295364,0.030601848,0.000000000,0.166028604,0.372176707,1.311547756,5.361618996,217.2889099,-0.811389863,-1015.739558,700.010677,RufousLeggedOwl,15
66,0,3.4182446,0,16.74105072,0,87.86317444,0,0.000000000,0.012908923,0,0,12.12893581,599.9230957,-0.986384809,-1000.739558,700.010677,RufousLeggedOwl,15
67,1,2.706175804,0,16.54756165,0,90.66825104,0,0.000000000,0.206063792,0,0,9.132120132,897.8486938,0.365550399,-985.7395576,700.010677,RufousLeggedOwl,15
68,0,2.491219282,0,14.01923656,1.906539083,93.58757019,0,0.000000000,0.04339068,0,0,6.373474598,2407.849365,0.5243541,-925.7395576,700.010677,RufousLeggedOwl,15
69,0,2.491219282,0,14.01923656,1.906539083,93.58757019,0,0.000000000,0.04339068,0,0,6.373474598,2407.849365,0.5243541,-910.7395576,700.010677,RufousLeggedOwl,15
70,0,1.89100647,0,12.32356644,5.06165266,95.10061646,0,0.000000000,0.63210845,0,0,4.267104626,2815.07251,-1.024425387,-895.7395576,700.010677,RufousLeggedOwl,15
71,0,6.740875721,0,9.405522346,10.04026699,89.31546021,0,0.000000000,2.258166552,0,0.001909458,8.420106888,3384.155273,-1.559408545,-880.7395576,700.010677,RufousLeggedOwl,15
72,0,6.338024139,0,16.63168716,0.068056174,70.00395966,0,0.000000000,0.254052043,0.236379862,0.776491582,11.72515392,308.0460815,0.484463096,-1015.739558,685.010677,RufousLeggedOwl,15
73,0,1.709853768,0,16.33016014,0,84.64981842,0,0.000000000,0.074768804,0,0,15.28961086,742.3306274,1.676999331,-1000.739558,685.010677,RufousLeggedOwl,15
74,0,2.144854069,0,16.63474083,0,91.65892029,0,0.000000000,0.059749547,0,0,8.288104057,788.3306885,-0.444919527,-985.7395576,685.010677,RufousLeggedOwl,15
75,0,3.249400616,0,15.67355633,0.057581495,95.68863678,0,0.000000000,1.451072216,0,0.034085717,2.826202393,1803.025757,0.750529349,-925.7395576,685.010677,RufousLeggedOwl,15
76,0,2.526772738,0,14.61313915,1.362226605,95.7184906,0,0.000000000,0.792108536,0,0,3.492158175,2222.260742,-1.155269861,-910.7395576,685.010677,RufousLeggedOwl,15
