"site","dummy","distRoad","occ","temp","precp","crop","evBroad","herb","shrub","tpi","tri","X","Y","species","resolution"
11,0,8.9210319519043,0,13.4357776641846,29.6307239532471,0.738051354885101,8.06611251831055,21.5138931274414,22.3039321899414,-4.13398265838623,224.888442993164,-988.23955761392,-1662.48932304778,"StriatedCaracara",10
12,0,10.1757764816284,0,13.96799659729,31.8640842437744,1.88179636001587,7.90050983428955,18.1594982147217,23.4771881103516,-0.587164521217346,212.301528930664,-978.23955761392,-1662.48932304778,"StriatedCaracara",10
13,0,6.36746740341187,0,13.1710014343262,32.1208267211914,0.748302280902863,3.64352822303772,13.8047313690186,25.6511993408203,9.21268653869629,171.009002685547,-968.23955761392,-1662.48932304778,"StriatedCaracara",10
14,0,2.81928014755249,0,15.9914417266846,41.666145324707,1.79068446159363,3.44904756546021,11.1945934295654,16.7024612426758,4.20404767990112,127.518089294434,-958.23955761392,-1662.48932304778,"StriatedCaracara",10
15,0,4.47830867767334,0,18.9110069274902,49.8357925415039,0.295548796653748,0.425648510456085,2.95894575119019,4.18561744689941,-7.69397354125977,18.620138168335,-948.23955761392,-1662.48932304778,"StriatedCaracara",10
16,1,4.47830867767334,0,18.9110069274902,49.8357925415039,0.295548796653748,0.425648510456085,2.95894575119019,4.18561744689941,-7.69397354125977,18.620138168335,-938.23955761392,-1662.48932304778,"StriatedCaracara",10
17,1,5.2569432258606,0,16.0365142822266,25.8173484802246,3.06110095977783,13.2158536911011,12.6892166137695,12.4965362548828,-2.12379741668701,108.000259399414,-1008.23955761392,-1672.48932304778,"StriatedCaracara",10
18,0,6.9697151184082,0,13.2342109680176,25.7750110626221,0.945138931274414,8.55945491790771,19.1255226135254,20.9937438964844,8.14832019805908,174.423919677734,-998.23955761392,-1672.48932304778,"StriatedCaracara",10
19,0,6.23300886154175,0,13.1802549362183,27.8837623596191,1.28530836105347,5.83531475067139,19.9495239257812,20.3894882202148,4.44347333908081,209.948379516602,-988.23955761392,-1672.48932304778,"StriatedCaracara",10
20,1,2.67669343948364,0,16.3913249969482,36.3060913085938,1.61707186698914,9.69230079650879,11.1272945404053,13.9511432647705,-7.49301481246948,157.585906982422,-978.23955761392,-1672.48932304778,"StriatedCaracara",10
21,1,2.07281136512756,0,18.5660419464111,42.1520729064941,1.01961255073547,3.95170497894287,10.9044561386108,10.5567846298218,-10.7706613540649,76.3890838623047,-968.23955761392,-1672.48932304778,"StriatedCaracara",10
22,1,2.31869602203369,0,18.538761138916,45.667610168457,0.364985316991806,2.40435647964478,10.4126310348511,9.92724895477295,-7.6298131942749,63.5698890686035,-958.23955761392,-1672.48932304778,"StriatedCaracara",10
23,1,2.63576817512512,0,18.9830074310303,50.0003814697266,1.13795959949493,0.394976764917374,17.319803237915,27.5979137420654,-6.38161516189575,76.8556976318359,-948.23955761392,-1672.48932304778,"StriatedCaracara",10
24,1,2.63576817512512,0,18.9830074310303,50.0003814697266,1.13795959949493,0.394976764917374,17.319803237915,27.5979137420654,-6.38161516189575,76.8556976318359,-938.23955761392,-1672.48932304778,"StriatedCaracara",10
25,0,22.1623287200928,0,13.709771156311,21.5264453887939,2.64719796180725,11.392165184021,12.2101154327393,11.6657381057739,-13.4370040893555,235.456756591797,-1038.23955761392,-1682.48932304778,"StriatedCaracara",10
26,0,22.1623287200928,0,13.709771156311,21.5264453887939,2.64719796180725,11.392165184021,12.2101154327393,11.6657381057739,-13.4370040893555,235.456756591797,-1028.23955761392,-1682.48932304778,"StriatedCaracara",10
27,1,13.1824026107788,0,13.9930286407471,23.2502117156982,2.4379551410675,10.3484172821045,15.2225818634033,17.3791370391846,3.66979718208313,185.674453735352,-1018.23955761392,-1682.48932304778,"StriatedCaracara",10
28,1,5.05056428909302,0,17.0683727264404,27.0539016723633,5.98335742950439,14.6601963043213,9.26069164276123,7.73331260681152,-5.97361278533936,96.8803939819336,-1008.23955761392,-1682.48932304778,"StriatedCaracara",10
29,1,2.17074370384216,0,16.9657211303711,31.858003616333,2.43692445755005,10.0838575363159,6.78365182876587,12.5565624237061,-2.71411752700806,93.3795318603516,-998.23955761392,-1682.48932304778,"StriatedCaracara",10
30,0,2.44055891036987,0,16.8903770446777,32.9669380187988,0.58952808380127,6.03993225097656,9.62430000305176,10.3053693771362,-2.93036508560181,99.7156524658203,-988.23955761392,-1682.48932304778,"StriatedCaracara",10
31,1,1.98262369632721,0,16.0976715087891,33.5331993103027,2.06443023681641,4.40493249893188,23.8901405334473,18.3081493377686,-1.89904546737671,153.025238037109,-978.23955761392,-1682.48932304778,"StriatedCaracara",10
32,1,4.56349992752075,0,15.9468727111816,34.9819488525391,2.26225757598877,3.94894123077393,24.3092956542969,25.5187511444092,4.27788114547729,153.449813842773,-968.23955761392,-1682.48932304778,"StriatedCaracara",10
33,0,6.92371559143066,0,13.9398241043091,32.329963684082,2.97704577445984,3.30817151069641,17.5678749084473,26.201452255249,5.16403484344482,146.884780883789,-958.23955761392,-1682.48932304778,"StriatedCaracara",10
34,0,2.63576817512512,0,18.9830074310303,50.0003814697266,1.13795959949493,0.394976764917374,17.319803237915,27.5979137420654,-6.38161516189575,76.8556976318359,-948.23955761392,-1682.48932304778,"StriatedCaracara",10
35,0,21.2465839385986,0,13.8223638534546,22.6552619934082,3.03211164474487,8.10101890563965,15.0943222045898,15.505500793457,10.6981210708618,218.963043212891,-1038.23955761392,-1692.48932304778,"StriatedCaracara",10
36,1,21.2465839385986,0,13.8223638534546,22.6552619934082,3.03211164474487,8.10101890563965,15.0943222045898,15.505500793457,10.6981210708618,218.963043212891,-1028.23955761392,-1692.48932304778,"StriatedCaracara",10
37,1,11.8761854171753,0,14.3478384017944,24.2714424133301,3.38063383102417,8.78288841247559,16.9330348968506,23.6285190582275,8.48151779174805,171.702682495117,-1018.23955761392,-1692.48932304778,"StriatedCaracara",10
38,1,3.34618997573853,0,15.8539752960205,26.361967086792,2.7294282913208,11.3175392150879,13.7385730743408,12.4930238723755,5.41322135925293,130.507476806641,-1008.23955761392,-1692.48932304778,"StriatedCaracara",10
39,1,3.49112439155579,0,18.0147590637207,29.8953590393066,0.357966005802155,0.9899542927742,3.58688402175903,2.14775800704956,-1.08666443824768,8.860032081604,-998.23955761392,-1692.48932304778,"StriatedCaracara",10
40,1,2.19973230361938,0,17.6108341217041,31.2701110839844,2.91635465621948,14.5323543548584,15.0647802352905,7.99617099761963,-2.14839172363281,63.1418609619141,-988.23955761392,-1692.48932304778,"StriatedCaracara",10
41,1,5.26492977142334,0,13.2973985671997,23.1855621337891,1.63464021682739,6.60336542129517,16.9232406616211,18.5752372741699,7.53256750106812,198.951171875,-978.23955761392,-1692.48932304778,"StriatedCaracara",10
42,0,4.56349992752075,0,15.9468727111816,34.9819488525391,2.26225757598877,3.94894123077393,24.3092956542969,25.5187511444092,4.27788114547729,153.449813842773,-968.23955761392,-1692.48932304778,"StriatedCaracara",10
43,0,6.92371559143066,0,13.9398241043091,32.329963684082,2.97704577445984,3.30817151069641,17.5678749084473,26.201452255249,5.16403484344482,146.884780883789,-958.23955761392,-1692.48932304778,"StriatedCaracara",10
44,0,20.5009174346924,0,15.5603427886963,23.1681118011475,6.21365928649902,14.1834774017334,17.1978225708008,14.5909175872803,-9.21615791320801,150.801864624023,-1038.23955761392,-1702.48932304778,"StriatedCaracara",10
45,1,20.5009174346924,0,15.5603427886963,23.1681118011475,6.21365928649902,14.1834774017334,17.1978225708008,14.5909175872803,-9.21615791320801,150.801864624023,-1028.23955761392,-1702.48932304778,"StriatedCaracara",10
46,1,11.3986749649048,0,17.6370162963867,25.4270000457764,6.09943580627441,11.9145202636719,13.706615447998,12.0352392196655,-6.67010545730591,91.947883605957,-1018.23955761392,-1702.48932304778,"StriatedCaracara",10
47,1,4.18092155456543,0,18.0765838623047,26.7973880767822,0.579551696777344,2.69722318649292,4.32025957107544,3.30973982810974,-4.27652835845947,21.6075572967529,-1008.23955761392,-1702.48932304778,"StriatedCaracara",10
48,1,2.18855476379395,0,17.5701084136963,28.7425727844238,4.65705013275146,12.0345516204834,13.3050098419189,8.5592679977417,-1.73051357269287,56.1202850341797,-998.23955761392,-1702.48932304778,"StriatedCaracara",10
49,0,6.68598222732544,0,16.5978565216064,28.8900279998779,4.32671213150024,24.652645111084,12.9091081619263,9.59459018707275,0.235056161880493,96.2664260864258,-988.23955761392,-1702.48932304778,"StriatedCaracara",10
50,0,5.26492977142334,0,13.2973985671997,23.1855621337891,1.63464021682739,6.60336542129517,16.9232406616211,18.5752372741699,7.53256750106812,198.951171875,-978.23955761392,-1702.48932304778,"StriatedCaracara",10
51,0,17.7804317474365,0,11.9708423614502,18.4688835144043,7.08299922943115,4.47901105880737,16.4146251678467,8.76235771179199,14.5991220474243,217.367706298828,-1038.23955761392,-1712.48932304778,"StriatedCaracara",10
52,0,17.7804317474365,0,11.9708423614502,18.4688835144043,7.08299922943115,4.47901105880737,16.4146251678467,8.76235771179199,14.5991220474243,217.367706298828,-1028.23955761392,-1712.48932304778,"StriatedCaracara",10
53,1,8.95308208465576,0,16.9002647399902,23.7806739807129,4.45648002624512,13.3174266815186,11.3159437179565,9.72700214385986,-1.98134732246399,118.159515380859,-1018.23955761392,-1712.48932304778,"StriatedCaracara",10
54,1,2.63224411010742,0,17.2149314880371,25.3726768493652,4.23264074325562,18.0717792510986,16.2702732086182,6.14955759048462,1.29751205444336,92.3920364379883,-1008.23955761392,-1712.48932304778,"StriatedCaracara",10
55,1,5.96946096420288,0,15.2342100143433,24.7643184661865,2.32757163047791,25.2518863677979,11.4277267456055,8.05658531188965,-0.248253136873245,92.8139572143555,-998.23955761392,-1712.48932304778,"StriatedCaracara",10
56,0,12.48557472229,0,14.7982549667358,25.6701793670654,2.03985619544983,24.6341743469238,13.565224647522,11.0452756881714,3.16879367828369,94.089599609375,-988.23955761392,-1712.48932304778,"StriatedCaracara",10
57,0,8.31254005432129,0,15.4488229751587,26.5522022247314,1.2827889919281,15.8459215164185,18.776762008667,16.1444797515869,2.86167812347412,118.125152587891,-978.23955761392,-1712.48932304778,"StriatedCaracara",10
58,0,99.228759765625,0,16.0558376312256,8.91187477111816,1.11338484287262,6.91473627090454,5.78813219070435,4.43618583679199,-0.768460750579834,6.8540415763855,-1128.23955761392,-1722.48932304778,"StriatedCaracara",10
59,0,99.228759765625,0,16.0558376312256,8.91187477111816,1.11338484287262,6.91473627090454,5.78813219070435,4.43618583679199,-0.768460750579834,6.8540415763855,-1118.23955761392,-1722.48932304778,"StriatedCaracara",10
60,0,15.5702619552612,0,12.8582448959351,19.0068511962891,5.0931568145752,5.30167531967163,16.5443077087402,14.1147432327271,4.88712739944458,202.369354248047,-1038.23955761392,-1722.48932304778,"StriatedCaracara",10
61,0,15.5702619552612,0,12.8582448959351,19.0068511962891,5.0931568145752,5.30167531967163,16.5443077087402,14.1147432327271,4.88712739944458,202.369354248047,-1028.23955761392,-1722.48932304778,"StriatedCaracara",10
62,0,6.62057590484619,0,17.1625385284424,23.053825378418,2.9114625453949,9.08765697479248,11.3488149642944,11.6060256958008,-6.37628555297852,108.507301330566,-1018.23955761392,-1722.48932304778,"StriatedCaracara",10
63,1,3.04976654052734,0,15.081919670105,22.6948719024658,2.39355874061584,13.7923612594604,21.6607284545898,17.4258079528809,1.6156690120697,111.993545532227,-1008.23955761392,-1722.48932304778,"StriatedCaracara",10
64,1,10.5852785110474,0,14.1862726211548,22.5875587463379,2.84891486167908,17.5015525817871,15.0821847915649,13.7081451416016,-2.69308376312256,94.0943069458008,-998.23955761392,-1722.48932304778,"StriatedCaracara",10
65,0,12.114351272583,0,14.7928810119629,24.5632209777832,1.27721118927002,24.2859649658203,11.8764629364014,11.549036026001,-0.747279286384583,89.4081420898438,-988.23955761392,-1722.48932304778,"StriatedCaracara",10
66,0,8.31254005432129,0,15.4488229751587,26.5522022247314,1.2827889919281,15.8459215164185,18.776762008667,16.1444797515869,2.86167812347412,118.125152587891,-978.23955761392,-1722.48932304778,"StriatedCaracara",10
67,1,7.42660570144653,0,15.0537614822388,26.3837852478027,2.47826194763184,4.77371883392334,16.0976982116699,34.0943450927734,2.07280683517456,170.160491943359,-968.23955761392,-1722.48932304778,"StriatedCaracara",10
68,1,10.6779308319092,0,13.8883037567139,23.3978805541992,1.78597581386566,1.67830610275269,15.619987487793,35.0998916625977,3.24393963813782,183.96223449707,-958.23955761392,-1722.48932304778,"StriatedCaracara",10
69,0,5.27077865600586,0,14.4410037994385,25.9418144226074,1.61274337768555,1.51998853683472,14.0144109725952,36.2919578552246,8.40364074707031,174.271453857422,-948.23955761392,-1722.48932304778,"StriatedCaracara",10
70,0,2.87288498878479,0,15.9923658370972,27.2338390350342,3.36788415908813,2.58060693740845,10.6504783630371,38.3398361206055,-2.38101387023926,94.2989959716797,-938.23955761392,-1722.48932304778,"StriatedCaracara",10
71,0,99.228759765625,0,16.0558376312256,8.91187477111816,1.11338484287262,6.91473627090454,5.78813219070435,4.43618583679199,-0.768460750579834,6.8540415763855,-1118.23955761392,-1732.48932304778,"StriatedCaracara",10
72,0,90.4160614013672,0,15.7868013381958,8.55202865600586,0.719712257385254,17.5594081878662,5.90479850769043,13.5480175018311,-0.454006671905518,78.1021957397461,-1108.23955761392,-1732.48932304778,"StriatedCaracara",10
73,0,80.9109649658203,0,15.8011074066162,8.26290512084961,0.403646111488342,13.0813941955566,17.2280445098877,13.9517812728882,-6.57000875473022,114.999969482422,-1098.23955761392,-1732.48932304778,"StriatedCaracara",10
