site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
726,0,0,0,0,0,0,1,0,0,0,0,0,0,60,300,210,120,20,20,20,20,60,150,21,70,10,7,10,14,8,9,9,1,20,18,19,11,18,8,1,4,1,1,2,1,2,1,1,3,1,1,1,4.089993477,308,337,326,364,319,256,11,324,348,338,281,296,281,1,2,3,4,5,6,7,8,9,10,11,12,13,0.561054289,5.488526821,5.975106239,0,6.222316265,0.064701185,23.09249687,52.79283142,349.6265259,-0.957381725,-1035.739558,-34.98932305,AustralPygmyOwl,25
727,NA,NA,0,NA,0,0,0,1,0,0,1,0,0,NA,NA,120,NA,30,20,180,80,120,98,3,30,120,NA,NA,2,NA,16,11,8,18,8,15,10,8,10,NA,NA,2,NA,2,2,1,2,1,2,1,1,1,3.840812445,NA,NA,245,NA,312,26,36,46,57,325,52,310,312,NA,NA,3,NA,5,6,7,8,9,10,11,12,13,1.805386066,4.292181015,1.880877376,0,10.72300434,0.221739069,9.141161919,73.4463501,897.1181641,0.591965079,-1010.739558,-34.98932305,AustralPygmyOwl,25
728,0,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,0,60,NA,NA,NA,NA,NA,NA,60,NA,120,97,15,30,13,NA,NA,NA,NA,NA,NA,21,NA,14,10,9,10,3,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,4.422513485,309,NA,NA,NA,NA,NA,NA,48,NA,287,271,285,319,1,NA,NA,NA,NA,NA,NA,8,NA,10,11,12,13,6.125706673,9.170052528,1.284937024,0.007431278,10.9964056,0.142450407,1.731354952,76.6578064,1483.900024,0.694567978,-985.7395576,-34.98932305,AustralPygmyOwl,25
729,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,250,NA,NA,NA,NA,40,NA,NA,NA,NA,16,NA,NA,7,NA,NA,NA,NA,15,NA,NA,NA,NA,17,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,3,3.661220551,NA,NA,260,NA,NA,NA,NA,343,NA,NA,NA,NA,40,NA,NA,3,NA,NA,NA,NA,8,NA,NA,NA,NA,13,10.18958187,27.78212738,2.820413828,0.00182928,8.859766006,0.164545327,3.336279154,56.5524292,2166.043213,0.237171963,-960.7395576,-34.98932305,AustralPygmyOwl,25
730,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,7.669587612,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,11,NA,NA,14.68339348,71.80413055,0.104722656,0,3.570822001,0,0.742807269,23.69235802,3429.689697,-1.986277819,-935.7395576,-34.98932305,AustralPygmyOwl,25
731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12.55824566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,30.56923294,75.58435059,0,0,0.832519352,0,1.822330832,11.79328918,4608.758301,6.677497864,-910.7395576,-34.98932305,AustralPygmyOwl,25
732,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6.782905579,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,27.23830223,58.44393539,0.101977974,0,1.914652467,0,1.859590769,37.57649231,2899.141113,-1.213010907,-885.7395576,-34.98932305,AustralPygmyOwl,25
734,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,60,41,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,9.078437805,NA,NA,NA,NA,293,NA,NA,NA,NA,NA,NA,282,289,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,12,13,51.64645386,35.91030502,0.039708715,0,2.545547247,0,0.034109741,61.49000549,2524.5271,-1.091427207,-835.7395576,-34.98932305,AustralPygmyOwl,25
735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24.89166832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,85.61165619,24.43424988,0.062464438,0.017943799,6.774687767,0,0.136117026,68.08634186,2126.416992,-1.323527217,-810.7395576,-34.98932305,AustralPygmyOwl,25
737,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,6.016041756,NA,NA,NA,NA,301,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,145.2135315,28.71871948,5.922048569,0,6.447604656,0,4.868474483,54.06587982,552.8945923,-0.076876439,-760.7395576,-34.98932305,AustralPygmyOwl,25
740,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6.454186916,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,188.4444122,25.45115471,0.041762106,0,7.328888893,0,0.210344642,66.68383789,515.8588257,-0.026112344,-685.7395576,-34.98932305,AustralPygmyOwl,25
743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2.712120533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,326.8031921,0.126392961,97.25827026,0.007258892,0.183984414,0,0.148048729,0.869869649,366.1065369,-0.032767285,-385.7395576,-34.98932305,AustralPygmyOwl,25
744,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,120,NA,12,1,1,30,120,NA,NA,NA,NA,NA,NA,10,NA,9,14,20,12,15,NA,NA,NA,NA,NA,NA,1,NA,3,1,1,1,3,2.712120533,NA,NA,NA,NA,NA,NA,264,NA,346,45,363,255,280,NA,NA,NA,NA,NA,NA,7,NA,9,10,11,12,13,326.8031921,0.126392961,97.25827026,0.007258892,0.183984414,0,0.148048729,0.869869649,366.1065369,-0.032767285,-360.7395576,-34.98932305,AustralPygmyOwl,25
745,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,2.630643368,NA,NA,NA,NA,NA,NA,312,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9,NA,NA,NA,NA,329.9933472,0,99.48631287,0.000873106,0.090689518,0,0.017681243,0.320078284,296.2296143,0.028093873,-335.7395576,-34.98932305,AustralPygmyOwl,25
746,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,180,NA,30,25,226,23,59,12,13,180,NA,NA,NA,17,NA,10,8,7,14,10,12,11,9,NA,NA,NA,1,NA,2,6,1,1,1,1,1,1,2.242699385,NA,NA,NA,10,NA,324,312,330,27,297,255,352,254,NA,NA,NA,4,NA,6,7,8,9,10,11,12,13,318.7380981,0.028551307,99.21374512,0.075893968,0.051392354,0,0.021704579,0.308652103,243.5858917,0.01056783,-310.7395576,-34.98932305,AustralPygmyOwl,25
747,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,240,NA,NA,NA,60,9,120,81,NA,NA,NA,NA,NA,13,NA,NA,NA,10,12,16,16,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,1,1,3.661510468,NA,NA,NA,NA,NA,284,NA,NA,NA,249,343,339,289,NA,NA,NA,NA,NA,6,NA,NA,NA,10,11,12,13,324.9963989,0,99.51075745,0.012370211,0.008571612,0,0.034736905,0.250889808,192.4903717,-0.000621312,-285.7395576,-34.98932305,AustralPygmyOwl,25
748,0,0,0,0,0,0,1,0,0,0,0,0,1,180,40,90,30,15,30,30,45,8,20,154,60,42,8,9,9,20,12,13,11,10,14,11,11,10,6,1,2,2,2,1,2,1,1,1,1,1,1,1,3.096827269,296,316,246,362,275,49,29,264,272,325,256,259,294,1,2,3,4,5,6,7,8,9,10,11,12,13,1.520217538,4.929542542,8.47773838,0.153063491,7.552258015,0.414836079,24.36586761,41.73593903,194.7671509,0.449415773,-1035.739558,-59.98932305,AustralPygmyOwl,25
749,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,1,NA,60,20,NA,30,NA,NA,23,NA,15,NA,12,10,NA,13,11,NA,17,NA,NA,17,NA,15,NA,14,10,NA,2,2,NA,2,NA,NA,1,NA,2,NA,2,2,4.547670364,NA,317,259,NA,312,NA,NA,320,NA,325,NA,340,48,NA,2,3,NA,5,NA,NA,8,NA,10,NA,12,13,2.577498913,5.066428661,7.539678574,0.114621609,10.98988724,0.89398253,11.78301048,63.36794662,752.7020874,-0.860611379,-1010.739558,-59.98932305,AustralPygmyOwl,25
750,1,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,240,NA,40,NA,NA,15,40,NA,NA,20,9,15,51,18,NA,16,NA,NA,11,15,NA,NA,18,18,10,17,2,NA,8,NA,NA,2,1,NA,NA,1,1,1,1,3.090673923,365,NA,252,NA,NA,284,25,NA,NA,40,255,311,260,1,NA,3,NA,NA,6,7,NA,NA,10,11,12,13,6.05960989,13.9601326,2.196300745,0,11.79379463,0,1.489388824,70.19063568,1174.50708,0.272649288,-985.7395576,-59.98932305,AustralPygmyOwl,25
751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3.636294365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,10.51714134,28.66242981,0.882220268,0.029115196,8.791748047,0,2.209437847,59.06204605,2113.776367,-2.117862225,-960.7395576,-59.98932305,AustralPygmyOwl,25
752,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.190032005,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55027103,73.71822357,0.065012313,0,3.734982252,0,1.124854207,21.34974098,3433.041016,-0.218493849,-935.7395576,-59.98932305,AustralPygmyOwl,25
756,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,7,45,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12,9,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,3,6.39444685,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,8,40,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,12,13,51.64094162,41.70479965,0.025696911,0,3.369469881,0,0.052980915,54.85111237,2417.633301,-0.524570405,-835.7395576,-59.98932305,AustralPygmyOwl,25
757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13.36648083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,80.02731323,38.52128983,0,0,6.454327106,0.011734689,0,54.95595551,2174.117188,1.024816751,-810.7395576,-59.98932305,AustralPygmyOwl,25
759,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,79,NA,30,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,9,NA,17,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,6.105955124,NA,302,NA,NA,280,NA,337,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,7,NA,NA,NA,NA,NA,NA,139.5448761,38.01206589,1.113194942,0,3.910260201,0,9.982082367,47.00770569,559.8230591,-0.045310691,-760.7395576,-59.98932305,AustralPygmyOwl,25
760,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,60,NA,120,150,NA,NA,49,NA,NA,NA,NA,NA,NA,19,NA,9,6,NA,NA,10,NA,NA,NA,NA,NA,NA,2,NA,9,6,NA,NA,2,8.595191956,NA,NA,NA,NA,NA,NA,13,NA,50,306,NA,NA,267,NA,NA,NA,NA,NA,NA,7,NA,9,10,NA,NA,13,151.4038696,4.140889645,0.155542955,0,12.56271839,0,0.688660085,82.46296692,559.2947388,0.008526472,-735.7395576,-59.98932305,AustralPygmyOwl,25
761,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,270,NA,300,45,105,60,155,NA,NA,112,NA,NA,NA,7,NA,8,9,18,18,7,NA,NA,8,NA,NA,NA,9,NA,2,3,10,5,6,NA,NA,2,5.430277348,NA,NA,NA,314,NA,27,308,273,292,307,NA,NA,267,NA,NA,NA,4,NA,6,7,8,9,10,NA,NA,13,162.46138,1.689721346,0,0,13.21461964,0,0,85.02949524,538.4290161,0.003963548,-710.7395576,-59.98932305,AustralPygmyOwl,25
763,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.601503372,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,188.7987518,19.35420609,2.097655773,0.19751519,10.13254261,0,1.374762416,66.43999481,498.4801025,-0.066764422,-660.7395576,-59.98932305,AustralPygmyOwl,25
766,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,5,NA,120,4,NA,180,NA,NA,NA,NA,NA,NA,NA,5,NA,16,6,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,5,3.102982521,NA,NA,NA,NA,NA,NA,NA,364,NA,257,23,NA,246,NA,NA,NA,NA,NA,NA,NA,8,NA,10,11,NA,13,323.6218567,0,99.85843658,0,0,0,0,0.024342075,385.1046143,-0.022070318,-385.7395576,-59.98932305,AustralPygmyOwl,25
767,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3.102982521,NA,NA,NA,NA,NA,NA,NA,NA,55,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,323.6218567,0,99.85843658,0,0,0,0,0.024342075,385.1046143,-0.022070318,-360.7395576,-59.98932305,AustralPygmyOwl,25
768,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2.760368347,NA,NA,NA,NA,NA,NA,NA,NA,19,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,324.1871338,0,98.82030487,0,0,0,0.121337265,0.334815055,272.486084,-0.047087066,-335.7395576,-59.98932305,AustralPygmyOwl,25
769,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,180,NA,8,120,20,27,14,NA,NA,NA,NA,NA,NA,10,NA,12,8,9,11,8,NA,NA,NA,NA,NA,NA,1,NA,2,2,1,1,1,2.473618507,NA,NA,NA,NA,NA,NA,315,NA,346,322,43,342,360,NA,NA,NA,NA,NA,NA,7,NA,9,10,11,12,13,310.7397156,0,99.0920639,0.025519781,0.012623457,0,0.048009235,0.19663997,227.9117737,0.012540504,-310.7395576,-59.98932305,AustralPygmyOwl,25
770,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,42,NA,46,152,130,40,NA,NA,NA,NA,NA,NA,NA,10,NA,5,17,14,17,NA,NA,NA,NA,NA,NA,NA,6,NA,3,1,1,1,NA,3.877714872,NA,NA,NA,NA,NA,NA,311,NA,346,365,295,356,NA,NA,NA,NA,NA,NA,NA,7,NA,9,10,11,12,NA,306.0747681,0,98.84604645,0,0.06357649,0,0.21254535,0.661987424,171.700058,-0.008900148,-285.7395576,-59.98932305,AustralPygmyOwl,25
771,0,NA,1,0,0,0,1,0,0,0,0,0,1,120,NA,120,10,30,210,90,120,15,300,60,120,78,7,NA,14,15,18,15,17,8,18,9,12,5,9,3,NA,7,2,1,1,1,1,1,2,1,1,1,3.867062092,37,NA,253,259,354,287,15,315,272,303,285,282,21,1,NA,3,4,5,6,7,8,9,10,11,12,13,2.948328972,2.955895901,12.87631512,0.066608407,11.22027683,0.392640293,15.13928127,56.48369217,289.6798706,-1.166325808,-1035.739558,-84.98932305,AustralPygmyOwl,25
772,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,2,NA,NA,NA,30,240,2,153,10,NA,8,35,17,14,NA,NA,NA,18,11,18,14,18,NA,7,9,8,2,NA,NA,NA,1,2,2,1,1,NA,1,1,1,3.867062092,331,NA,NA,NA,362,58,36,257,297,NA,300,259,342,1,NA,NA,NA,5,6,7,8,9,NA,11,12,13,2.948328972,2.955895901,12.87631512,0.066608407,11.22027683,0.392640293,15.13928127,56.48369217,289.6798706,-1.166325808,-1010.739558,-84.98932305,AustralPygmyOwl,25
773,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,NA,NA,45,NA,NA,48,NA,NA,NA,5,30,16,10,NA,NA,12,NA,NA,10,NA,NA,NA,19,12,8,11,NA,NA,5,NA,NA,2,NA,NA,NA,3,1,1,2,3.285887003,NA,NA,252,NA,NA,284,NA,NA,NA,309,301,308,48,NA,NA,3,NA,NA,6,NA,NA,NA,10,11,12,13,5.089185715,5.984138966,8.61886692,0.077269338,12.61127472,0.002893033,5.368535995,66.09605408,736.0076904,-0.068470001,-985.7395576,-84.98932305,AustralPygmyOwl,25
774,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,90,NA,NA,5,NA,NA,NA,90,NA,60,240,NA,NA,8,NA,NA,16,NA,NA,NA,10,NA,9,12,NA,NA,7,NA,NA,2,NA,NA,NA,3,NA,1,1,4.645008564,NA,NA,253,NA,NA,284,NA,NA,NA,303,NA,277,249,NA,NA,3,NA,NA,6,NA,NA,NA,10,NA,12,13,11.5629282,13.75600052,1.14519608,0.027673716,10.407094,0,0.955825329,73.51931763,1587.165527,-0.433684438,-960.7395576,-84.98932305,AustralPygmyOwl,25
775,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.635165691,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,13.68676567,59.8146286,0.014035192,0,4.631135464,0,1.282145023,33.86320496,2896.210693,0.516711235,-935.7395576,-84.98932305,AustralPygmyOwl,25
778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,13.06668854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,32.67334366,64.3497467,0.002429489,0,3.055937052,0.016323706,3.783175468,28.72185898,3551.033447,0.307369769,-860.7395576,-84.98932305,AustralPygmyOwl,25
779,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,30,NA,60,NA,NA,5,120,95,10,5,20,60,NA,18,NA,8,NA,NA,17,16,6,10,13,18,19,NA,10,NA,2,NA,NA,4,1,1,1,1,1,1,2.809161186,NA,303,NA,322,NA,NA,336,19,313,340,257,7,314,NA,2,NA,4,NA,NA,7,8,9,10,11,12,13,53.89616776,34.01792145,1.717598438,0,5.42440176,0,0.415340722,58.14189529,2331.455322,-1.490381718,-835.7395576,-84.98932305,AustralPygmyOwl,25
780,NA,NA,NA,0,0,NA,0,0,0,0,0,1,0,NA,NA,NA,210,20,NA,240,60,20,180,1,124,17,NA,NA,NA,8,10,NA,10,12,12,10,10,9,8,NA,NA,NA,4,1,NA,2,1,2,10,1,1,1,3.857433558,NA,NA,NA,279,274,NA,304,17,260,23,257,279,292,NA,NA,NA,4,5,NA,7,8,9,10,11,12,13,82.05211639,20.99461365,0,0,8.21696949,0.071811788,0.081956379,70.57790375,2065.872559,1.421173692,-810.7395576,-84.98932305,AustralPygmyOwl,25
781,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,300,NA,NA,NA,NA,4,30,NA,NA,NA,60,240,NA,7,NA,NA,NA,NA,8,16,NA,NA,NA,18,8,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,3,2,NA,6.583298206,8,NA,NA,NA,NA,43,337,NA,NA,NA,45,325,NA,1,NA,NA,NA,NA,6,7,NA,NA,NA,11,12,NA,115.1256332,29.93836594,4.258270741,0,6.316110134,0.187197775,1.76796031,57.4274292,759.6816406,0.018919641,-785.7395576,-84.98932305,AustralPygmyOwl,25
782,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4.871454716,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,126.8754578,32.29142761,4.092439175,0.020727383,5.902505398,0,2.081012487,55.62536621,580.5213623,-0.005755142,-760.7395576,-84.98932305,AustralPygmyOwl,25
783,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,15,60,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,6,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,7.950106621,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,284,247,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,12,13,138.194458,3.230229855,1.202065587,0.014230456,13.31641293,0,0.372691005,81.85791779,577.9595337,0.014880326,-735.7395576,-84.98932305,AustralPygmyOwl,25
788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4.023466587,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,321.2736206,0.074590899,96.0353775,0.079285651,0.006062456,0.009506926,1.00379014,2.371224642,549.6047974,0.035214592,-410.7395576,-84.98932305,AustralPygmyOwl,25
789,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,48,45,74,1,45,150,2,NA,NA,NA,NA,NA,NA,14,12,12,10,15,8,14,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,4.023466587,NA,NA,NA,NA,NA,NA,50,301,279,351,256,261,269,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,321.2736206,0.074590899,96.0353775,0.079285651,0.006062456,0.009506926,1.00379014,2.371224642,549.6047974,0.035214592,-385.7395576,-84.98932305,AustralPygmyOwl,25
