site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
1417,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,5,NA,5,250,11,72,NA,NA,NA,NA,NA,NA,NA,14,NA,12,17,0,13,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,1,2.018407345,NA,NA,NA,NA,NA,NA,NA,281,NA,265,7,11,364,NA,NA,NA,NA,NA,NA,NA,8,NA,10,11,12,13,63.35448837,0.748028755,8.527646065,7.406867981,11.55294991,52.75563812,3.238662958,8.1195755,156.1172943,-0.569286764,-1110.739558,-634.989323,AustralPygmyOwl,25
1418,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,33,58,2,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,9,17,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,1,1.806300402,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,321,341,290,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,11,12,13,65.34351349,3.359505892,23.75992584,9.6534338,13.31601048,25.65727425,7.39350605,15.12891006,141.3200378,-0.018062018,-1085.739558,-634.989323,AustralPygmyOwl,25
1419,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,NA,15,300,30,10,25,60,120,7,10,30,36,NA,NA,11,11,9,8,8,16,12,19,10,13,13,NA,NA,1,1,1,1,3,1,1,1,1,1,1,2.941229343,NA,NA,288,272,257,333,282,300,260,304,304,356,261,NA,NA,3,4,5,6,7,8,9,10,11,12,13,77.90821075,2.788408995,21.36850357,9.704520226,14.8058672,32.78013229,3.605827332,13.33329773,165.5039063,0.008154999,-1060.739558,-634.989323,AustralPygmyOwl,25
1420,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,10,15,30,NA,NA,NA,12,53,NA,NA,NA,NA,NA,9,15,18,NA,NA,NA,19,16,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,1,3.593393803,NA,NA,NA,NA,NA,333,265,301,NA,NA,NA,57,308,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,12,13,90.06970215,1.434191942,39.20332336,4.676781654,15.26818752,14.95332623,3.754050732,20.00555992,308.4766846,-0.297611207,-1035.739558,-634.989323,AustralPygmyOwl,25
1421,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,240,9,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,5.364015579,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,325,20,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,12,13,93.55674744,0.668151379,10.05515289,6.535562038,28.67130852,44.34218597,2.561331511,6.508437634,982.0531006,1.558015704,-1010.739558,-634.989323,AustralPygmyOwl,25
1424,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,45,NA,60,NA,30,27,NA,NA,NA,NA,NA,NA,NA,16,NA,18,NA,13,17,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,2,16.51573944,NA,NA,NA,NA,NA,NA,NA,323,NA,292,NA,282,1,NA,NA,NA,NA,NA,NA,NA,8,NA,10,NA,12,13,59.70378876,16.53120613,3.841174841,0.73855114,15.69875813,0.373697728,3.034081221,59.66720581,1593.316772,-0.560908854,-935.7395576,-634.989323,AustralPygmyOwl,25
1425,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,180,NA,NA,15,5,60,80,40,3,NA,NA,NA,NA,10,NA,NA,11,10,10,19,11,18,NA,NA,NA,NA,2,NA,NA,2,1,1,1,2,1,4.168467522,NA,NA,NA,NA,6,NA,NA,44,323,292,285,282,270,NA,NA,NA,NA,5,NA,NA,8,9,10,11,12,13,48.95840836,15.06337261,2.275467157,0.451008648,14.21576691,0.374744982,1.790502667,65.69242096,1524.24707,1.829116821,-910.7395576,-634.989323,AustralPygmyOwl,25
1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,60,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,2.867284775,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,263,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,13,38.67725754,13.75410652,2.164431572,0.032161534,11.65092468,0.000695406,0.190664217,71.80073547,1380.116943,-0.447672367,-885.7395576,-634.989323,AustralPygmyOwl,25
1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.221695423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,39.26006699,24.09596252,1.383469582,0.006485215,9.143099785,0.127356961,1.148711562,63.71819687,1849.638428,1.126380563,-860.7395576,-634.989323,AustralPygmyOwl,25
1429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13.80868053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,37.75062943,31.67132759,0.04611155,0.119741037,4.526871681,0,0.404716522,54.83087921,1035.824707,0.863857508,-810.7395576,-634.989323,AustralPygmyOwl,25
