"site","dummy","distRoad","occ","temp","precp","barren","crop","decBroad","mixed","herb","shrub","elev","tpi","tri","X","Y","species","resolution"
45,1,2.47640347480774,0,16.1458435058594,14.8927659988403,3.18373680114746,31.4737949371338,1.99489009380341,4.51842498779297,12.3339557647705,34.0455780029297,795.384399414062,-1.04550683498383,59.1849670410156,-943.23955761392,-277.48932304778,"WhiteTroatedCaracara",20
46,1,4.81758117675781,0,7.5528712272644,20.6892642974854,51.2983512878418,0.752460896968842,0.0233000069856644,5.25557851791382,5.96981954574585,36.1094055175781,2231.56982421875,0.916942059993744,152.067687988281,-923.23955761392,-277.48932304778,"WhiteTroatedCaracara",20
47,0,4.65122127532959,0,1.30971574783325,26.3588981628418,71.7389373779297,0.0425240062177181,0,1.63810932636261,1.78863441944122,23.4399185180664,3207.61450195312,8.37800979614258,262.860778808594,-903.23955761392,-277.48932304778,"WhiteTroatedCaracara",20
48,0,4.51262903213501,0,0.647509336471558,29.3971633911133,67.6327438354492,0.0121191274374723,0,2.98241066932678,5.36676073074341,23.0577220916748,3301.40380859375,-1.57635939121246,221.25846862793,-883.23955761392,-277.48932304778,"WhiteTroatedCaracara",20
49,1,2.99061131477356,0,8.98091125488281,67.4246368408203,5.67790174484253,0.442874789237976,0.000392865011235699,9.47430419921875,0.25235903263092,84.1476440429688,2017.12719726562,-1.92673981189728,96.7627944946289,-823.23955761392,-277.48932304778,"WhiteTroatedCaracara",20
50,1,2.99061131477356,0,8.98091125488281,67.4246368408203,5.67790174484253,0.442874789237976,0.000392865011235699,9.47430419921875,0.25235903263092,84.1476440429688,2017.12719726562,-1.92673981189728,96.7627944946289,-803.23955761392,-277.48932304778,"WhiteTroatedCaracara",20
51,1,2.4045045375824,0,14.9068355560303,12.8243169784546,2.15724277496338,21.1153621673584,5.58610153198242,5.73785877227783,24.9885196685791,25.1671562194824,297.781646728516,-0.166572034358978,21.0862197875977,-1063.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
52,1,2.4045045375824,0,14.9068355560303,12.8243169784546,2.15724277496338,21.1153621673584,5.58610153198242,5.73785877227783,24.9885196685791,25.1671562194824,297.781646728516,-0.166572034358978,21.0862197875977,-1043.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
53,1,5.45442008972168,0,14.8351678848267,19.061731338501,5.36169099807739,26.0696926116943,0.816112458705902,7.09352540969849,16.5537815093994,33.9272270202637,888.917419433594,-1.64554524421692,101.429290771484,-963.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
54,1,5.45442008972168,0,14.8351678848267,19.061731338501,5.36169099807739,26.0696926116943,0.816112458705902,7.09352540969849,16.5537815093994,33.9272270202637,888.917419433594,-1.64554524421692,101.429290771484,-943.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
55,1,2.67010188102722,0,10.5966510772705,22.2810478210449,19.9745140075684,9.86261940002441,0.48654842376709,9.15205955505371,14.1533327102661,40.665599822998,1674.96459960938,-1.1181355714798,181.481735229492,-923.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
56,1,4.65122127532959,0,1.30971574783325,26.3588981628418,71.7389373779297,0.0425240062177181,0,1.63810932636261,1.78863441944122,23.4399185180664,3207.61450195312,8.37800979614258,262.860778808594,-903.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
57,0,4.51262903213501,0,0.647509336471558,29.3971633911133,67.6327438354492,0.0121191274374723,0,2.98241066932678,5.36676073074341,23.0577220916748,3301.40380859375,-1.57635939121246,221.25846862793,-883.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
58,0,5.04187774658203,0,8.96937370300293,60.3354301452637,4.09710693359375,0.0974580571055412,0,14.1739654541016,0,81.6196517944336,2019.58117675781,-0.698625564575195,26.2670288085938,-823.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
59,0,3.81965708732605,0,10.9359836578369,74.0565414428711,4.54844188690186,0,0,14.4497175216675,0.153083443641663,80.2574691772461,1572.90393066406,-0.394658863544464,28.0962963104248,-803.23955761392,-297.48932304778,"WhiteTroatedCaracara",20
60,1,2.46415209770203,0,15.1026268005371,17.794132232666,4.20633220672607,13.3754844665527,1.69416880607605,7.6153392791748,8.35067939758301,15.5378942489624,92.4739608764648,-0.501868426799774,14.0182075500488,-1063.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
61,1,2.14419102668762,0,14.3771820068359,16.8559761047363,2.95864510536194,19.5098495483398,4.19687557220459,7.72965955734253,15.3740282058716,17.1142330169678,310.530731201172,0.801473319530487,34.6387748718262,-1043.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
62,1,14.734917640686,0,11.4453353881836,22.2863693237305,12.404200553894,13.7965517044067,0.639543533325195,9.93701362609863,14.8374166488647,38.5767593383789,1405.08142089844,-2.06367564201355,151.963684082031,-963.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
63,1,14.734917640686,0,11.4453353881836,22.2863693237305,12.404200553894,13.7965517044067,0.639543533325195,9.93701362609863,14.8374166488647,38.5767593383789,1405.08142089844,-2.06367564201355,151.963684082031,-943.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
64,1,5.15891265869141,0,4.85942935943604,25.4931240081787,59.0198783874512,0.91439688205719,0.00180601119063795,4.4708137512207,4.66552209854126,26.2449035644531,2574.81225585938,2.62716937065125,236.342544555664,-923.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
65,1,5.15891265869141,0,4.85942935943604,25.4931240081787,59.0198783874512,0.91439688205719,0.00180601119063795,4.4708137512207,4.66552209854126,26.2449035644531,2574.81225585938,2.62716937065125,236.342544555664,-903.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
66,0,4.85312223434448,0,8.92551803588867,58.2537117004395,8.369215965271,0,0,13.886754989624,0,77.7718353271484,2013.81994628906,0.686457216739655,34.037540435791,-823.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
67,0,3.81965708732605,0,10.9359836578369,74.0565414428711,4.54844188690186,0,0,14.4497175216675,0.153083443641663,80.2574691772461,1572.90393066406,-0.394658863544464,28.0962963104248,-803.23955761392,-317.48932304778,"WhiteTroatedCaracara",20
68,1,2.0274293422699,0,14.7572002410889,21.0008945465088,2.92616081237793,17.2458629608154,3.53184151649475,5.01753997802734,14.5186939239502,16.0078392028809,74.5756225585938,-0.396253556013107,18.8478851318359,-1063.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
69,1,3.20378232002258,0,14.5393342971802,20.3814830780029,5.09443807601929,20.1090717315674,2.9646635055542,7.76713943481445,21.0243225097656,20.0215034484863,202.96501159668,0.222910195589066,41.168342590332,-1043.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
70,1,11.8898105621338,0,9.34375858306885,24.9744567871094,18.4014282226562,7.68275928497314,0.601228773593903,11.2147169113159,13.7600708007812,37.9007606506348,1741.63586425781,0.470148324966431,187.617736816406,-963.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
71,1,11.8898105621338,0,9.34375858306885,24.9744567871094,18.4014282226562,7.68275928497314,0.601228773593903,11.2147169113159,13.7600708007812,37.9007606506348,1741.63586425781,0.470148324966431,187.617736816406,-943.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
72,1,5.15891265869141,0,4.85942935943604,25.4931240081787,59.0198783874512,0.91439688205719,0.00180601119063795,4.4708137512207,4.66552209854126,26.2449035644531,2574.81225585938,2.62716937065125,236.342544555664,-923.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
73,0,6.43325233459473,0,11.1755809783936,71.727783203125,4.2454571723938,0,0,14.1245012283325,0,81.6320037841797,1512.02160644531,-0.375742822885513,17.7881011962891,-823.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
74,0,6.43325233459473,0,11.1755809783936,71.727783203125,4.2454571723938,0,0,14.1245012283325,0,81.6320037841797,1512.02160644531,-0.375742822885513,17.7881011962891,-803.23955761392,-337.48932304778,"WhiteTroatedCaracara",20
75,1,2.22781538963318,0,14.3968448638916,21.6578998565674,3.98582625389099,15.0833377838135,2.59333777427673,6.31683015823364,11.4528179168701,15.142017364502,68.9358825683594,-0.350133091211319,24.1757831573486,-1063.23955761392,-357.48932304778,"WhiteTroatedCaracara",20
76,0,3.20378232002258,0,14.5393342971802,20.3814830780029,5.09443807601929,20.1090717315674,2.9646635055542,7.76713943481445,21.0243225097656,20.0215034484863,202.96501159668,0.222910195589066,41.168342590332,-1043.23955761392,-357.48932304778,"WhiteTroatedCaracara",20
77,1,6.74687385559082,0,13.0345020294189,24.9478569030762,1.11908876895905,46.3183975219727,3.06796646118164,7.94955158233643,4.998459815979,17.5043125152588,666.863647460938,1.25750637054443,80.7131881713867,-963.23955761392,-357.48932304778,"WhiteTroatedCaracara",20
