site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,herb,shrub,elev,tpi,tri,X,Y,species,resolution
256,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,210,NA,180,NA,NA,30,NA,30,58,NA,NA,NA,NA,13,NA,9,NA,NA,17,NA,15,19,NA,NA,NA,NA,6,NA,1,NA,NA,1,NA,1,2,4.700368404,NA,NA,NA,NA,323,NA,36,NA,NA,262,NA,298,51,NA,NA,NA,NA,5,NA,7,NA,NA,10,NA,12,13,8.522865295,66.4618988,5.021266937,15.91890717,5.487453461,26.00815773,9.497355461,16.4008503,1288.801636,-2.140386343,172.9507294,-983.2395576,-577.489323,WhiteTroatedCaracara,20
257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,8.036044121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,5.97922039,55.59209442,23.12313843,8.033631325,2.332390547,18.83120918,13.5166111,30.807724,1888.348022,1.830498099,144.9880371,-963.2395576,-577.489323,WhiteTroatedCaracara,20
258,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,NA,12,60,55,16,NA,NA,NA,NA,NA,NA,NA,20,NA,7,17,14,10,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,2,3,7.251134872,NA,NA,NA,NA,NA,NA,NA,320,NA,5,33,27,362,NA,NA,NA,NA,NA,NA,NA,8,NA,10,11,12,13,6.502972126,51.33308792,28.40951729,2.753189087,0.592901051,20.00808907,7.211032391,40.46372986,1862,0.411496639,97.54810333,-943.2395576,-577.489323,WhiteTroatedCaracara,20
259,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,30,NA,5,15,60,60,240,235,NA,NA,NA,NA,NA,17,NA,8,8,19,5,7,13,NA,NA,NA,NA,NA,3,NA,4,1,1,1,1,2,4.649031639,NA,NA,NA,NA,NA,325,NA,301,327,4,2,30,271,NA,NA,NA,NA,NA,6,NA,8,9,10,11,12,13,6.920704365,48.17827225,21.70240784,2.044723511,0.241150737,16.22094917,5.005821228,54.60375977,1871.221436,0.632792592,93.29392242,-923.2395576,-577.489323,WhiteTroatedCaracara,20
260,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,100,NA,51,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,16,NA,14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,6.771815777,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,360,NA,343,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,11,NA,13,2.429703951,46.67181015,41.08138657,2.434333563,0,8.474534035,15.34188652,32.27780151,2718.685303,0.510666966,119.4248962,-903.2395576,-577.489323,WhiteTroatedCaracara,20
262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.275614738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10.31657696,39.41368866,32.33285141,0.2596111,0.00156511,8.045877457,0.28444162,59.04510117,1431.502197,-2.060034752,73.27705383,-863.2395576,-577.489323,WhiteTroatedCaracara,20
269,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,180,120,30,60,30,60,56,46,30,20,5,18,19,8,17,10,18,20,17,10,18,16,18,19,1,1,7,2,1,2,2,1,1,2,1,1,1,1.198467016,290,269,329,319,258,248,340,347,294,286,334,282,359,1,2,3,4,5,6,7,8,9,10,11,12,13,12.810853,51.64389801,5.566337585,13.59374046,0.993770719,5.750518799,3.390593052,15.42484283,33.35845184,0.020869352,3.24858427,-1143.239558,-597.489323,WhiteTroatedCaracara,20
270,0,0,0,0,0,0,0,0,0,0,0,0,0,90,65,90,70,30,300,40,32,93,8,37,193,60,10,14,18,16,6,14,9,9,16,6,17,6,17,2,1,1,2,2,2,1,1,1,1,1,1,3,2.56865263,36,296,350,255,361,334,343,326,251,282,327,282,320,1,2,3,4,5,6,7,8,9,10,11,12,13,12.42708206,53.70250702,2.367243052,6.934528828,2.467147589,11.76070309,0.789064527,6.271146774,132.6405945,-0.353071243,28.11079407,-1123.239558,-597.489323,WhiteTroatedCaracara,20
271,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,180,180,5,NA,83,72,10,15,NA,NA,NA,NA,NA,8,13,15,NA,18,19,10,22,NA,NA,NA,NA,NA,3,2,1,NA,2,4,1,1,1.836737633,NA,NA,NA,NA,NA,1,37,1,NA,32,49,268,361,NA,NA,NA,NA,NA,6,7,8,NA,10,11,12,13,12.30511856,55.09977722,2.515925884,15.24044132,12.72465801,11.07210159,6.162785053,5.589010239,229.7568512,0.216822758,23.34754181,-1103.239558,-597.489323,WhiteTroatedCaracara,20
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2.838338375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,13.06349754,62.40093994,2.611706257,28.29366302,8.595971107,10.52274132,8.328568459,13.15082645,155.8951416,0.479140192,28.42819405,-1083.239558,-597.489323,WhiteTroatedCaracara,20
273,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,180,65,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,15,17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2.922947645,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,263,14,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,12,13,11.54390335,80.98442841,0.10204646,42.03820038,6.1986413,11.99122429,5.533121586,14.38237858,490.6891479,-0.205870122,27.48057365,-1023.239558,-597.489323,WhiteTroatedCaracara,20
274,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,15,45,22,70,15,125,NA,35,15,120,43,NA,NA,10,6,19,9,7,17,NA,16,16,7,16,NA,NA,1,5,1,1,1,1,NA,1,1,1,2,4.531718254,NA,NA,366,310,7,3,337,51,NA,365,287,269,351,NA,NA,3,4,5,6,7,8,NA,10,11,12,13,8.733957291,76.96632385,1.440378904,9.569933891,5.234379292,27.49632072,2.978904009,5.660097599,1150.483032,0.649929702,121.1812973,-1003.239558,-597.489323,WhiteTroatedCaracara,20
275,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,60,10,2,100,30,10,150,60,14,NA,NA,NA,NA,8,18,10,10,15,20,11,13,10,NA,NA,NA,NA,1,2,1,3,1,2,4,1,2,8.109954834,NA,NA,NA,NA,323,341,337,36,286,364,278,314,352,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,5.079264641,64.86045837,21.41180038,8.469316483,4.323420525,20.15632248,9.331708908,19.07524109,1953.563477,0.969428062,153.6490021,-983.2395576,-597.489323,WhiteTroatedCaracara,20
276,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,120,180,80,20,275,30,81,44,60,NA,NA,NA,NA,11,8,16,11,8,10,6,18,10,NA,NA,NA,NA,2,6,2,2,2,1,1,1,1,9.377450943,NA,NA,NA,NA,11,284,332,43,362,292,2,59,324,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,6.16446352,60.22798538,17.29041862,10.62375259,4.262443542,20.52380753,15.38737011,24.9588604,1811.166626,1.04444313,146.9450226,-963.2395576,-597.489323,WhiteTroatedCaracara,20
277,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,40,25,NA,20,30,30,7,NA,NA,NA,NA,NA,NA,11,9,NA,9,12,12,14,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,2,2,4.088462353,NA,NA,NA,NA,NA,NA,332,18,NA,292,1,59,1,NA,NA,NA,NA,NA,NA,7,8,NA,10,11,12,13,7.579210758,55.3629303,16.46169662,5.173946381,1.577573657,20.22672462,5.795225143,50.37073898,1643.846558,0.473744959,59.38484573,-943.2395576,-597.489323,WhiteTroatedCaracara,20
278,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,120,150,45,35,20,70,10,18,NA,NA,NA,NA,NA,6,9,7,15,7,20,11,19,NA,NA,NA,NA,NA,1,1,4,2,1,3,1,1,4.539411068,NA,NA,NA,NA,NA,2,366,301,362,36,43,1,270,NA,NA,NA,NA,NA,6,7,8,9,10,11,12,13,7.853225708,50.63646317,16.01371002,1.996284723,0.178919792,15.91897678,1.986586809,63.55989075,1687.067139,0.627515674,87.81217957,-923.2395576,-597.489323,WhiteTroatedCaracara,20
279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.661252499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.040023804,46.26506805,24.61707115,6.457286358,0.049366821,14.89702415,7.211156845,46.53334427,2066.77417,-2.845205307,127.9584961,-903.2395576,-597.489323,WhiteTroatedCaracara,20
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3.907680511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,8.044085503,41.22386169,17.39820671,1.014961243,0,12.44699192,0.035730984,69.06066895,1827.367065,0.983061492,56.56139374,-863.2395576,-597.489323,WhiteTroatedCaracara,20
289,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,40,NA,60,15,60,60,120,120,70,50,180,NA,NA,16,NA,10,12,8,12,16,15,14,17,15,NA,NA,2,NA,3,1,3,2,2,2,1,1,3,1.198467016,NA,NA,333,NA,364,258,319,246,285,306,302,339,317,NA,NA,3,NA,5,6,7,8,9,10,11,12,13,12.810853,51.64389801,5.566337585,13.59374046,0.993770719,5.750518799,3.390593052,15.42484283,33.35845184,0.020869352,3.24858427,-1143.239558,-617.489323,WhiteTroatedCaracara,20
290,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,90,NA,NA,NA,NA,59,109,5,30,91,62,30,NA,14,NA,NA,NA,NA,18,11,16,16,20,18,11,NA,3,NA,NA,NA,NA,1,2,1,1,1,1,1,1.746020913,NA,50,NA,NA,NA,NA,41,280,311,300,364,264,257,NA,2,NA,NA,NA,NA,7,8,9,10,11,12,13,12.2070446,58.97705841,1.012098789,4.742514133,2.442472935,18.6562252,0.501751661,7.406774521,177.3967285,0.672457516,48.51168823,-1123.239558,-617.489323,WhiteTroatedCaracara,20
291,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,57,102,18,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,17,8,11,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,2.277278185,NA,NA,NA,NA,NA,NA,NA,365,NA,262,44,342,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,10,11,12,NA,12.25267029,60.34609985,2.235711336,14.93617821,9.848545074,9.147279739,6.717844963,7.291009903,236.9607391,0.565959156,25.76086044,-1103.239558,-617.489323,WhiteTroatedCaracara,20
292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2.838338375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,13.06349754,62.40093994,2.611706257,28.29366302,8.595971107,10.52274132,8.328568459,13.15082645,155.8951416,0.479140192,28.42819405,-1083.239558,-617.489323,WhiteTroatedCaracara,20
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,119,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,5.203762531,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,NA,318,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,7.964871407,82.65563965,1.645649672,7.678976536,7.359549046,26.98805428,5.50059557,7.95388937,1297.510986,1.152649999,122.3763809,-1003.239558,-617.489323,WhiteTroatedCaracara,20
297,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,10,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,13.86469364,NA,NA,NA,NA,NA,NA,NA,323,NA,292,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,10,11,NA,NA,6.412790775,57.55826569,26.64503098,4.902021885,1.474010348,18.55833817,7.91669035,39.96352768,1862.652466,0.247342065,103.5030212,-943.2395576,-617.489323,WhiteTroatedCaracara,20
298,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,40,NA,20,NA,60,20,4,6,NA,NA,NA,NA,NA,8,NA,9,NA,18,18,9,10,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,2,2,3.000036478,NA,NA,NA,NA,NA,319,NA,42,NA,292,341,28,277,NA,NA,NA,NA,NA,6,NA,8,NA,10,11,12,13,8.888430595,52.90644455,11.78005981,2.011622429,0.204336956,13.9352541,1.578907013,70.11602783,1490.652832,-1.86508441,91.02116394,-923.2395576,-617.489323,WhiteTroatedCaracara,20
300,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,180,180,NA,180,30,NA,6,NA,74,NA,NA,NA,NA,8,6,NA,8,9,NA,18,NA,11,NA,NA,NA,NA,4,3,NA,2,3,NA,1,NA,1,3.109000921,NA,NA,NA,NA,53,10,NA,301,279,NA,30,NA,330,NA,NA,NA,NA,5,6,NA,8,9,NA,11,NA,13,7.096028805,43.36463547,12.86100674,2.12671566,0.241541579,16.68190002,0.800777793,67.11672974,1937.425049,0.000628822,70.14199066,-883.2395576,-617.489323,WhiteTroatedCaracara,20
301,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,60,90,180,60,180,NA,120,NA,NA,NA,NA,NA,NA,11,19,8,18,8,NA,17,NA,NA,NA,NA,NA,NA,4,2,2,2,1,NA,4,7.387490749,NA,NA,NA,NA,NA,NA,43,41,363,306,348,NA,282,NA,NA,NA,NA,NA,NA,7,8,9,10,11,NA,13,5.820436478,43.35791779,25.30073547,0.951750219,0.019875659,9.090930939,1.109502077,62.49320602,2211.574463,1.7996732,94.65103149,-863.2395576,-617.489323,WhiteTroatedCaracara,20
304,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,45,19,7,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,2,4.188966274,NA,NA,NA,NA,NA,NA,NA,NA,45,38,46,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,NA,13,13.36437988,41.25631714,34.87933731,0.150401369,0.163751543,6.64150095,0.005197536,58.16786957,816.496582,-1.160187721,24.23209953,-803.2395576,-617.489323,WhiteTroatedCaracara,20
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,6,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,4.237745762,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,46,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,13,13.04199314,45.92910004,34.68873978,0.138285205,0.067366466,6.171583176,0.162317723,58.54066849,873.6452637,-1.033487439,27.75513458,-783.2395576,-617.489323,WhiteTroatedCaracara,20
308,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,120,120,120,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,11,11,11,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,3,3,8,NA,NA,NA,NA,3,2.506017208,NA,NA,NA,NA,NA,249,320,10,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,NA,13,12.64513111,81.42664337,0.370612979,9.832846642,8.12863636,23.40428925,1.095722198,5.999366283,95.68571472,0.014928028,29.07599449,-1163.239558,-637.489323,WhiteTroatedCaracara,20
309,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,60,NA,60,120,63,35,60,6,15,8,NA,NA,NA,12,NA,20,17,18,21,12,10,10,18,NA,NA,NA,1,NA,1,1,1,1,2,1,1,1,3.042525053,NA,NA,NA,15,NA,15,56,365,364,272,283,318,297,NA,NA,NA,4,NA,6,7,8,9,10,11,12,13,11.99934483,65.51572418,0.4496921,4.612006187,4.659332275,21.40779305,1.6600492,9.855477333,238.3422241,0.378303647,54.24958038,-1143.239558,-637.489323,WhiteTroatedCaracara,20
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,250,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,3.042525053,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,7,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,13,11.99934483,65.51572418,0.4496921,4.612006187,4.659332275,21.40779305,1.6600492,9.855477333,238.3422241,0.378303647,54.24958038,-1123.239558,-637.489323,WhiteTroatedCaracara,20
311,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,240,60,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,12,9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2.363463402,NA,NA,NA,NA,NA,NA,NA,281,NA,NA,NA,8,28,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,12,13,12.62172985,63.36248779,1.840914488,12.17019939,9.718003273,10.28936672,5.78002739,9.616704941,180.0348206,0.095526919,30.58228493,-1103.239558,-637.489323,WhiteTroatedCaracara,20
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2.363463402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12.62172985,63.36248779,1.840914488,12.17019939,9.718003273,10.28936672,5.78002739,9.616704941,180.0348206,0.095526919,30.58228493,-1083.239558,-637.489323,WhiteTroatedCaracara,20
313,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7.314470768,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,8.048575401,92.2877655,0.600589156,8.969856262,5.860154629,29.17110062,4.294268608,7.349898815,1253.860229,2.198213577,133.8351288,-1023.239558,-637.489323,WhiteTroatedCaracara,20
314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7.314470768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,8.048575401,92.2877655,0.600589156,8.969856262,5.860154629,29.17110062,4.294268608,7.349898815,1253.860229,2.198213577,133.8351288,-1003.239558,-637.489323,WhiteTroatedCaracara,20
317,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,23.59346581,NA,NA,NA,NA,NA,NA,NA,323,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,10,NA,NA,NA,6.3933568,61.63779831,25.04931641,5.193858147,0.908621252,17.80881882,5.048057079,45.17653656,1861.562988,1.694725752,121.0635529,-943.2395576,-637.489323,WhiteTroatedCaracara,20
318,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,180,NA,NA,15,5,60,80,40,3,NA,NA,NA,NA,10,NA,NA,11,10,10,19,11,18,NA,NA,NA,NA,2,NA,NA,2,1,1,1,2,1,7.543314934,NA,NA,NA,NA,6,NA,NA,44,323,292,285,282,270,NA,NA,NA,NA,5,NA,NA,8,9,10,11,12,13,9.77453804,56.07714081,9.383003235,2.385592699,0.765500546,14.63879776,1.223277211,71.27981567,1324.421021,-1.076810002,72.55488586,-923.2395576,-637.489323,WhiteTroatedCaracara,20
319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,3.724343538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,9.737656593,44.61768341,15.51379395,1.35461688,0.054860014,12.91434765,0.845043004,68.89841461,1424.463379,2.175914288,93.49624634,-903.2395576,-637.489323,WhiteTroatedCaracara,20
320,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,3.038386345,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,13,10.39678955,37.44407654,13.59555244,2.183904648,0.030487096,11.49251652,0.243315503,71.82318115,1350.27417,-0.90531975,60.25299835,-883.2395576,-637.489323,WhiteTroatedCaracara,20
321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.788561344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7.787086487,39.32023621,18.4473877,1.478987694,0,10.48717785,0.883683443,68.41789246,1848.873047,0.842313409,74.5581131,-863.2395576,-637.489323,WhiteTroatedCaracara,20
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4.188966274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,13.36437988,41.25631714,34.87933731,0.150401369,0.163751543,6.64150095,0.005197536,58.16786957,816.496582,-1.160187721,24.23209953,-803.2395576,-637.489323,WhiteTroatedCaracara,20
327,0,0,0,NA,0,0,0,0,0,0,0,0,0,60,45,60,NA,120,180,30,30,120,60,7,98,41,16,11,12,NA,12,11,16,15,7,17,10,12,10,3,2,2,NA,3,1,2,3,1,1,2,1,5,2.506017208,46,279,339,NA,256,290,13,359,316,287,295,250,316,1,2,3,NA,5,6,7,8,9,10,11,12,13,12.64513111,81.42664337,0.370612979,9.832846642,8.12863636,23.40428925,1.095722198,5.999366283,95.68571472,0.014928028,29.07599449,-1163.239558,-657.489323,WhiteTroatedCaracara,20
328,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,120,NA,NA,120,180,45,60,53,18,25,37,120,NA,19,NA,NA,14,14,18,17,10,18,10,14,18,NA,2,NA,NA,3,1,3,1,2,1,1,1,1,2.813995361,NA,278,NA,NA,270,277,365,14,279,285,366,304,362,NA,2,NA,NA,5,6,7,8,9,10,11,12,13,12.4366951,84.75656891,0.353590369,5.312119484,6.01493454,19.03177261,0.716581881,4.93666029,141.1842957,-0.254651815,37.57013321,-1143.239558,-657.489323,WhiteTroatedCaracara,20
