site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,herb,shrub,elev,tpi,tri,X,Y,species,resolution
1290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.343747377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,8.893693924,21.91373253,22.25650024,9.456609726,1.515555382,13.748312,9.128261566,41.78673172,711.5169067,-0.213715315,21.25547409,-843.2395576,-1417.489323,WhiteTroatedCaracara,20
1306,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4.786814213,NA,NA,NA,NA,NA,NA,NA,33,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,11.31418419,37.45720673,51.86626434,0.011190855,0,1.000989199,0.30684346,46.76623154,388.7920227,0.007015007,3.371969461,-523.2395576,-1417.489323,WhiteTroatedCaracara,20
1307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.912511826,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.34303665,38.02754974,51.66508102,0.010477629,0,0.974187255,0.025696447,47.32753372,370.4080811,0.016474208,6.005028725,-503.2395576,-1417.489323,WhiteTroatedCaracara,20
1309,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,4.222920895,NA,NA,NA,NA,NA,NA,NA,278,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,11.96672344,39.03194427,18.26474953,0,0,10.57147026,0.168116421,70.7771225,231.1215363,0.081159085,12.05776215,-463.2395576,-1417.489323,WhiteTroatedCaracara,20
1310,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4.520725727,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,12.38056564,39.35473251,1.377588391,0,0,11.88017559,0.333396018,86.4243927,138.0515289,0.226620212,16.81487846,-443.2395576,-1417.489323,WhiteTroatedCaracara,20
1314,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,118.2015152,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,7.956141949,465.9448242,0,1.87150538,0.033353295,32.56403351,2.408647776,7.745095253,151.9109955,-0.051253513,45.90050888,-1123.239558,-1437.489323,WhiteTroatedCaracara,20
1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24.56951141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7.816767693,408.9328308,0.059539523,3.914863586,0.287231714,44.14964676,1.85534811,8.27512455,452.4329224,-0.154869109,131.2100525,-1043.239558,-1437.489323,WhiteTroatedCaracara,20
1319,NA,NA,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,120,NA,120,34,NA,70,68,4,NA,15,5,NA,NA,13,NA,15,19,NA,8,8,20,NA,23,15,NA,NA,2,NA,1,2,NA,1,1,1,NA,1,1,8.016752243,NA,NA,360,NA,285,296,NA,289,40,9,NA,313,309,NA,NA,3,NA,5,6,NA,8,9,10,NA,12,13,7.157626629,352.0941467,0.325340658,6.143947124,1.003919363,45.28853989,2.140445471,5.398294449,602.2463379,-0.720484316,142.8613281,-1023.239558,-1437.489323,WhiteTroatedCaracara,20
1320,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9.999114037,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,4.590559959,258.328949,8.714616776,3.033438444,1.952984333,21.0905304,16.77590179,5.822625637,1112.919067,3.461047411,212.8634491,-1003.239558,-1437.489323,WhiteTroatedCaracara,20
1322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4.09746933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,5.447331429,163.1548767,3.253020048,5.86400032,6.544264317,32.32759857,14.05194664,12.4291172,1047.508911,-0.211130679,140.7472839,-963.2395576,-1437.489323,WhiteTroatedCaracara,20
1343,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,10,NA,NA,NA,NA,15,25,15,NA,15,NA,NA,NA,18,NA,NA,NA,NA,20,17,18,NA,13,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,NA,1,3.081377268,NA,NA,NA,359,NA,NA,NA,NA,293,338,349,NA,365,NA,NA,NA,4,NA,NA,NA,NA,9,10,11,NA,13,11.34310722,36.24326706,48.69974136,0,0.094352759,2.231167078,0.65140897,47.94557571,376.0761414,-0.03513721,5.039228439,-543.2395576,-1437.489323,WhiteTroatedCaracara,20
